Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,Replicate,Seeding Density,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.31623,uM,2,625.00,277.50,1830.33,4163.75,0.4358,0.6129
50583-7,MCF 10A,10024-101-1,NVP-TAE684,1,uM,2,625.00,277.50,804.67,4163.75,0.1935,0.3128
50583-7,MCF 10A,10024-101-1,NVP-TAE684,3.1623,uM,2,625.00,277.50,265.00,4163.75,0.0635,-0.0140
50583-7,MCF 10A,10024-101-1,NVP-TAE684,10,uM,2,625.00,277.50,143.33,4163.75,0.0343,-0.1686
50583-7,MCF 10A,10071-101-1,Palbociclib,0.0033113,uM,2,625.00,277.50,2779.67,3384.25,0.8507,0.8780
50583-7,MCF 10A,10071-101-1,Palbociclib,0.01,uM,2,625.00,277.50,2690.67,3384.25,0.8167,0.8747
50583-7,MCF 10A,10071-101-1,Palbociclib,0.031623,uM,2,625.00,277.50,1769.67,3384.25,0.5306,0.6734
50583-7,MCF 10A,10071-101-1,Palbociclib,0.1,uM,2,625.00,277.50,2602.67,3384.25,0.7637,0.8431
50583-7,MCF 10A,10071-101-1,Palbociclib,0.31623,uM,2,625.00,277.50,1128.00,3384.25,0.3387,0.4705
50583-7,MCF 10A,10071-101-1,Palbociclib,1,uM,2,625.00,277.50,606.67,3384.25,0.1800,0.2336
50583-7,MCF 10A,10071-101-1,Palbociclib,3.1623,uM,2,625.00,277.50,421.00,3384.25,0.1228,0.1120
50583-7,MCF 10A,10071-101-1,Palbociclib,10,uM,2,625.00,277.50,281.67,3384.25,0.0845,0.0021
50583-7,MCF 10A,10071-101-1,Palbociclib,19.9526,uM,2,625.00,277.50,309.83,3384.25,0.0907,0.0110
50583-7,MCF 10A,10146-101-3,Omipalisib,0.0016596,uM,2,1250.00,585.71,2607.00,6891.50,0.3781,0.5210
50583-7,MCF 10A,10146-101-3,Omipalisib,0.0033113,uM,2,1250.00,585.71,2317.33,6891.50,0.3357,0.4682
50583-7,MCF 10A,10146-101-3,Omipalisib,0.01,uM,2,1250.00,585.71,1570.33,6891.50,0.2288,0.3072
50583-7,MCF 10A,10146-101-3,Omipalisib,0.031623,uM,2,1250.00,585.71,614.33,6891.50,0.0896,0.0052
50583-7,MCF 10A,10146-101-3,Omipalisib,0.1,uM,2,1250.00,585.71,140.33,6891.50,0.0203,-0.3346
50583-7,MCF 10A,10146-101-3,Omipalisib,0.31623,uM,2,1250.00,585.71,112.00,6891.50,0.0162,-0.3746
50583-7,MCF 10A,10146-101-3,Omipalisib,1,uM,2,1250.00,585.71,44.33,6891.50,0.0065,-0.5238
50583-7,MCF 10A,10146-101-3,Omipalisib,3.1623,uM,2,1250.00,585.71,48.00,6891.50,0.0070,-0.5092
50583-7,MCF 10A,10146-101-3,Omipalisib,10,uM,2,1250.00,585.71,199.33,6891.50,0.0289,-0.2666
50583-7,MCF 10A,10264-999-2,Methotrexate,0.0016596,uM,2,1250.00,585.71,7217.33,6891.50,1.0469,1.0227
50583-7,MCF 10A,10264-999-2,Methotrexate,0.0033113,uM,2,1250.00,585.71,7741.00,6891.50,1.1221,1.0637
50583-7,MCF 10A,10264-999-2,Methotrexate,0.01,uM,2,1250.00,585.71,7095.33,6891.50,1.0317,1.0148
50583-7,MCF 10A,10264-999-2,Methotrexate,0.031623,uM,2,1250.00,585.71,6231.00,6891.50,0.9064,0.9416
50583-7,MCF 10A,10264-999-2,Methotrexate,0.1,uM,2,1250.00,585.71,1100.33,6891.50,0.1595,0.1925
50583-7,MCF 10A,10264-999-2,Methotrexate,0.31623,uM,2,1250.00,585.71,915.33,6891.50,0.1329,0.1316
50583-7,MCF 10A,10264-999-2,Methotrexate,1,uM,2,1250.00,585.71,1002.33,6891.50,0.1456,0.1607
50583-7,MCF 10A,10264-999-2,Methotrexate,3.1623,uM,2,1250.00,585.71,1008.33,6891.50,0.1464,0.1647
50583-7,MCF 10A,10264-999-2,Methotrexate,10,uM,2,1250.00,585.71,1181.33,6891.50,0.1718,0.2170
50583-7,MCF 10A,10102-999-6,Taxol,0.00016596,uM,2,1250.00,585.71,6518.67,6891.50,0.9455,0.9681
50583-7,MCF 10A,10102-999-6,Taxol,0.00033113,uM,2,1250.00,585.71,6654.00,6891.50,0.9675,0.9792
50583-7,MCF 10A,10102-999-6,Taxol,0.001,uM,2,1250.00,585.71,4949.33,6891.50,0.7199,0.8201
50583-7,MCF 10A,10102-999-6,Taxol,0.0031623,uM,2,1250.00,585.71,2133.67,6891.50,0.3111,0.4218
50583-7,MCF 10A,10102-999-6,Taxol,0.01,uM,2,1250.00,585.71,516.67,6891.50,0.0750,-0.0367
50583-7,MCF 10A,10102-999-6,Taxol,0.031623,uM,2,1250.00,585.71,470.00,6891.50,0.0684,-0.0614
50583-7,MCF 10A,10102-999-6,Taxol,0.1,uM,2,1250.00,585.71,412.00,6891.50,0.0597,-0.0949
50583-7,MCF 10A,10102-999-6,Taxol,0.31623,uM,2,1250.00,585.71,442.33,6891.50,0.0642,-0.0761
50583-7,MCF 10A,10102-999-6,Taxol,1,uM,2,1250.00,585.71,531.67,6891.50,0.0773,-0.0277
50583-7,MCF 10A,10250-999-4,Etoposide,0.0033113,uM,2,1250.00,585.71,6879.33,7602.33,0.9027,0.9434
50583-7,MCF 10A,10250-999-4,Etoposide,0.01,uM,2,1250.00,585.71,7863.33,7602.33,1.0357,1.0187
50583-7,MCF 10A,10250-999-4,Etoposide,0.031623,uM,2,1250.00,585.71,5983.00,7602.33,0.7878,0.8745
50583-7,MCF 10A,10250-999-4,Etoposide,0.1,uM,2,1250.00,585.71,5601.33,7602.33,0.7367,0.8398
50583-7,MCF 10A,10250-999-4,Etoposide,0.31623,uM,2,1250.00,585.71,1678.00,7602.33,0.2222,0.3281
50583-7,MCF 10A,10250-999-4,Etoposide,1,uM,2,1250.00,585.71,639.00,7602.33,0.0835,0.0184
50583-7,MCF 10A,10250-999-4,Etoposide,3.1623,uM,2,1250.00,585.71,419.00,7602.33,0.0552,-0.0877
50583-7,MCF 10A,10250-999-4,Etoposide,10,uM,2,1250.00,585.71,421.67,7602.33,0.0555,-0.0870
50583-7,MCF 10A,10250-999-4,Etoposide,19.9526,uM,2,1250.00,585.71,322.33,7602.33,0.0425,-0.1509
50583-7,MCF 10A,10099-101-1,Nilotinib,0.0033113,uM,2,1250.00,585.71,7601.67,7602.33,1.0033,1.0003
50583-7,MCF 10A,10099-101-1,Nilotinib,0.01,uM,2,1250.00,585.71,7526.67,7602.33,0.9905,0.9941
50583-7,MCF 10A,10099-101-1,Nilotinib,0.031623,uM,2,1250.00,585.71,8156.33,7602.33,1.0724,1.0372
50583-7,MCF 10A,10099-101-1,Nilotinib,0.1,uM,2,1250.00,585.71,8305.33,7602.33,1.0948,1.0492
50583-7,MCF 10A,10099-101-1,Nilotinib,0.31623,uM,2,1250.00,585.71,7991.33,7602.33,1.0537,1.0283
50583-7,MCF 10A,10099-101-1,Nilotinib,1,uM,2,1250.00,585.71,8508.33,7602.33,1.1186,1.0609
50583-7,MCF 10A,10099-101-1,Nilotinib,3.1623,uM,2,1250.00,585.71,8094.67,7602.33,1.0620,1.0314
50583-7,MCF 10A,10099-101-1,Nilotinib,10,uM,2,1250.00,585.71,2849.67,7602.33,0.3686,0.4967
50583-7,MCF 10A,10099-101-1,Nilotinib,19.9526,uM,2,1250.00,585.71,662.00,7602.33,0.0873,0.0332
50583-7,MCF 10A,10049-101-1,PLX-4720,0.0033113,uM,2,1250.00,585.71,7358.33,7602.33,0.9677,0.9823
50583-7,MCF 10A,10049-101-1,PLX-4720,0.01,uM,2,1250.00,585.71,7313.67,7602.33,0.9626,0.9771
50583-7,MCF 10A,10049-101-1,PLX-4720,0.031623,uM,2,1250.00,585.71,7051.00,7602.33,0.9311,0.9606
50583-7,MCF 10A,10049-101-1,PLX-4720,0.1,uM,2,1250.00,585.71,7687.67,7602.33,1.0138,1.0044
50583-7,MCF 10A,10049-101-1,PLX-4720,0.31623,uM,2,1250.00,585.71,8163.33,7602.33,1.0758,1.0395
50583-7,MCF 10A,10049-101-1,PLX-4720,1,uM,2,1250.00,585.71,8198.67,7602.33,1.0802,1.0416
50583-7,MCF 10A,10049-101-1,PLX-4720,3.1623,uM,2,1250.00,585.71,8593.00,7602.33,1.1319,1.0678
50583-7,MCF 10A,10049-101-1,PLX-4720,10,uM,2,1250.00,585.71,7114.67,7602.33,0.9373,0.9651
50583-7,MCF 10A,10049-101-1,PLX-4720,19.9526,uM,2,1250.00,585.71,3460.00,7602.33,0.4564,0.6157
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.0016596,uM,2,1250.00,585.71,6995.33,7602.33,0.9186,0.9537
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.0033113,uM,2,1250.00,585.71,8051.00,7602.33,1.0613,1.0322
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.01,uM,2,1250.00,585.71,7673.00,7602.33,1.0082,1.0035
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.031623,uM,2,1250.00,585.71,6898.33,7602.33,0.9084,0.9444
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.1,uM,2,1250.00,585.71,5945.00,7602.33,0.7796,0.8680
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.31623,uM,2,1250.00,585.71,4503.67,7602.33,0.5911,0.7338
50583-7,MCF 10A,10024-101-1,NVP-TAE684,1,uM,2,1250.00,585.71,1745.33,7602.33,0.2319,0.3172
50583-7,MCF 10A,10024-101-1,NVP-TAE684,3.1623,uM,2,1250.00,585.71,812.33,7602.33,0.1075,0.0888
50583-7,MCF 10A,10024-101-1,NVP-TAE684,10,uM,2,1250.00,585.71,327.67,7602.33,0.0432,-0.1455
50583-7,MCF 10A,10071-101-1,Palbociclib,0.0033113,uM,2,1250.00,585.71,7172.33,6891.50,1.0420,1.0216
50583-7,MCF 10A,10071-101-1,Palbociclib,0.01,uM,2,1250.00,585.71,6397.67,6891.50,0.9283,0.9586
50583-7,MCF 10A,10071-101-1,Palbociclib,0.031623,uM,2,1250.00,585.71,6050.00,6891.50,0.8757,0.9219
50583-7,MCF 10A,10071-101-1,Palbociclib,0.1,uM,2,1250.00,585.71,5001.00,6891.50,0.7295,0.8130
50583-7,MCF 10A,10071-101-1,Palbociclib,0.31623,uM,2,1250.00,585.71,2899.00,6891.50,0.4214,0.5578
50583-7,MCF 10A,10071-101-1,Palbociclib,1,uM,2,1250.00,585.71,1697.00,6891.50,0.2480,0.3269
50583-7,MCF 10A,10071-101-1,Palbociclib,3.1623,uM,2,1250.00,585.71,1373.33,6891.50,0.1994,0.2671
50583-7,MCF 10A,10071-101-1,Palbociclib,10,uM,2,1250.00,585.71,846.33,6891.50,0.1230,0.1083
50583-7,MCF 10A,10071-101-1,Palbociclib,19.9526,uM,2,1250.00,585.71,676.00,6891.50,0.0984,0.0280
50583-7,MCF 10A,10146-101-3,Omipalisib,0.0016596,uM,2,2500.00,1446.42,4470.33,7161.00,0.6277,0.6316
50583-7,MCF 10A,10146-101-3,Omipalisib,0.0033113,uM,2,2500.00,1446.42,3606.00,7161.00,0.5063,0.4812
50583-7,MCF 10A,10146-101-3,Omipalisib,0.01,uM,2,2500.00,1446.42,1612.67,7161.00,0.2230,0.0340
50583-7,MCF 10A,10146-101-3,Omipalisib,0.031623,uM,2,2500.00,1446.42,706.67,7161.00,0.0975,-0.2805
50583-7,MCF 10A,10146-101-3,Omipalisib,0.1,uM,2,2500.00,1446.42,230.33,7161.00,0.0320,-0.5564
50583-7,MCF 10A,10146-101-3,Omipalisib,0.31623,uM,2,2500.00,1446.42,135.33,7161.00,0.0187,-0.6457
50583-7,MCF 10A,10146-101-3,Omipalisib,1,uM,2,2500.00,1446.42,109.67,7161.00,0.0153,-0.6741
50583-7,MCF 10A,10146-101-3,Omipalisib,3.1623,uM,2,2500.00,1446.42,119.33,7161.00,0.0166,-0.6616
50583-7,MCF 10A,10146-101-3,Omipalisib,10,uM,2,2500.00,1446.42,503.33,7161.00,0.0708,-0.3689
50583-7,MCF 10A,10264-999-2,Methotrexate,0.0016596,uM,2,2500.00,1446.42,6705.00,7161.00,0.9400,0.9448
50583-7,MCF 10A,10264-999-2,Methotrexate,0.0033113,uM,2,2500.00,1446.42,6017.67,7161.00,0.8377,0.8468
50583-7,MCF 10A,10264-999-2,Methotrexate,0.01,uM,2,2500.00,1446.42,7241.67,7161.00,1.0103,1.0043
50583-7,MCF 10A,10264-999-2,Methotrexate,0.031623,uM,2,2500.00,1446.42,6350.33,7161.00,0.8885,0.8972
50583-7,MCF 10A,10264-999-2,Methotrexate,0.1,uM,2,2500.00,1446.42,1272.33,7161.00,0.1767,-0.0597
50583-7,MCF 10A,10264-999-2,Methotrexate,0.31623,uM,2,2500.00,1446.42,1275.67,7161.00,0.1779,-0.0544
50583-7,MCF 10A,10264-999-2,Methotrexate,1,uM,2,2500.00,1446.42,1211.33,7161.00,0.1687,-0.0765
50583-7,MCF 10A,10264-999-2,Methotrexate,3.1623,uM,2,2500.00,1446.42,1077.00,7161.00,0.1498,-0.1232
50583-7,MCF 10A,10264-999-2,Methotrexate,10,uM,2,2500.00,1446.42,1303.67,7161.00,0.1825,-0.0439
50583-7,MCF 10A,10102-999-6,Taxol,0.00016596,uM,2,2500.00,1446.42,7198.33,7161.00,1.0040,1.0012
50583-7,MCF 10A,10102-999-6,Taxol,0.00033113,uM,2,2500.00,1446.42,7344.67,7161.00,1.0278,1.0234
50583-7,MCF 10A,10102-999-6,Taxol,0.001,uM,2,2500.00,1446.42,6510.33,7161.00,0.9105,0.9201
50583-7,MCF 10A,10102-999-6,Taxol,0.0031623,uM,2,2500.00,1446.42,3694.00,7161.00,0.5144,0.4956
50583-7,MCF 10A,10102-999-6,Taxol,0.01,uM,2,2500.00,1446.42,1105.00,7161.00,0.1550,-0.1108
50583-7,MCF 10A,10102-999-6,Taxol,0.031623,uM,2,2500.00,1446.42,1024.33,7161.00,0.1423,-0.1438
50583-7,MCF 10A,10102-999-6,Taxol,0.1,uM,2,2500.00,1446.42,805.33,7161.00,0.1126,-0.2243
50583-7,MCF 10A,10102-999-6,Taxol,0.31623,uM,2,2500.00,1446.42,941.33,7161.00,0.1319,-0.1708
50583-7,MCF 10A,10102-999-6,Taxol,1,uM,2,2500.00,1446.42,879.67,7161.00,0.1227,-0.1955
50583-7,MCF 10A,10250-999-4,Etoposide,0.0033113,uM,2,2500.00,1446.42,7857.67,7615.00,1.0336,1.0237
50583-7,MCF 10A,10250-999-4,Etoposide,0.01,uM,2,2500.00,1446.42,7694.67,7615.00,1.0117,1.0069
50583-7,MCF 10A,10250-999-4,Etoposide,0.031623,uM,2,2500.00,1446.42,7064.33,7615.00,0.9282,0.9388
50583-7,MCF 10A,10250-999-4,Etoposide,0.1,uM,2,2500.00,1446.42,5729.67,7615.00,0.7532,0.7763
50583-7,MCF 10A,10250-999-4,Etoposide,0.31623,uM,2,2500.00,1446.42,2589.00,7615.00,0.3399,0.2746
50583-7,MCF 10A,10250-999-4,Etoposide,1,uM,2,2500.00,1446.42,1170.00,7615.00,0.1533,-0.0887
50583-7,MCF 10A,10250-999-4,Etoposide,3.1623,uM,2,2500.00,1446.42,975.33,7615.00,0.1279,-0.1533
50583-7,MCF 10A,10250-999-4,Etoposide,10,uM,2,2500.00,1446.42,855.00,7615.00,0.1122,-0.1974
50583-7,MCF 10A,10250-999-4,Etoposide,19.9526,uM,2,2500.00,1446.42,873.00,7615.00,0.1146,-0.1914
50583-7,MCF 10A,10099-101-1,Nilotinib,0.0033113,uM,2,2500.00,1446.42,8078.00,7615.00,1.0597,1.0471
50583-7,MCF 10A,10099-101-1,Nilotinib,0.01,uM,2,2500.00,1446.42,8295.00,7615.00,1.0895,1.0697
50583-7,MCF 10A,10099-101-1,Nilotinib,0.031623,uM,2,2500.00,1446.42,8441.00,7615.00,1.1096,1.0883
50583-7,MCF 10A,10099-101-1,Nilotinib,0.1,uM,2,2500.00,1446.42,8830.67,7615.00,1.1585,1.1206
50583-7,MCF 10A,10099-101-1,Nilotinib,0.31623,uM,2,2500.00,1446.42,9131.33,7615.00,1.2002,1.1580
50583-7,MCF 10A,10099-101-1,Nilotinib,1,uM,2,2500.00,1446.42,8549.00,7615.00,1.1227,1.0989
50583-7,MCF 10A,10099-101-1,Nilotinib,3.1623,uM,2,2500.00,1446.42,8744.67,7615.00,1.1513,1.1159
50583-7,MCF 10A,10099-101-1,Nilotinib,10,uM,2,2500.00,1446.42,5480.67,7615.00,0.7191,0.7297
50583-7,MCF 10A,10099-101-1,Nilotinib,19.9526,uM,2,2500.00,1446.42,1443.33,7615.00,0.1898,-0.0012
50583-7,MCF 10A,10049-101-1,PLX-4720,0.0033113,uM,2,2500.00,1446.42,7823.00,7615.00,1.0269,1.0210
50583-7,MCF 10A,10049-101-1,PLX-4720,0.01,uM,2,2500.00,1446.42,8040.00,7615.00,1.0562,1.0433
50583-7,MCF 10A,10049-101-1,PLX-4720,0.031623,uM,2,2500.00,1446.42,7785.67,7615.00,1.0251,1.0156
50583-7,MCF 10A,10049-101-1,PLX-4720,0.1,uM,2,2500.00,1446.42,8311.33,7615.00,1.0923,1.0730
50583-7,MCF 10A,10049-101-1,PLX-4720,0.31623,uM,2,2500.00,1446.42,8272.33,7615.00,1.0867,1.0703
50583-7,MCF 10A,10049-101-1,PLX-4720,1,uM,2,2500.00,1446.42,8599.67,7615.00,1.1294,1.1042
50583-7,MCF 10A,10049-101-1,PLX-4720,3.1623,uM,2,2500.00,1446.42,8768.33,7615.00,1.1510,1.1204
50583-7,MCF 10A,10049-101-1,PLX-4720,10,uM,2,2500.00,1446.42,9034.00,7615.00,1.1865,1.1480
50583-7,MCF 10A,10049-101-1,PLX-4720,19.9526,uM,2,2500.00,1446.42,6745.67,7615.00,0.8861,0.9015
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.0016596,uM,2,2500.00,1446.42,7619.00,7615.00,0.9996,0.9984
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.0033113,uM,2,2500.00,1446.42,8063.67,7615.00,1.0597,1.0483
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.01,uM,2,2500.00,1446.42,7882.00,7615.00,1.0368,1.0285
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.031623,uM,2,2500.00,1446.42,7114.67,7615.00,0.9345,0.9443
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.1,uM,2,2500.00,1446.42,6530.33,7615.00,0.8582,0.8760
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.31623,uM,2,2500.00,1446.42,5008.67,7615.00,0.6574,0.6783
50583-7,MCF 10A,10024-101-1,NVP-TAE684,1,uM,2,2500.00,1446.42,2893.33,7615.00,0.3800,0.3346
50583-7,MCF 10A,10024-101-1,NVP-TAE684,3.1623,uM,2,2500.00,1446.42,1231.33,7615.00,0.1618,-0.0665
50583-7,MCF 10A,10024-101-1,NVP-TAE684,10,uM,2,2500.00,1446.42,722.00,7615.00,0.0944,-0.2600
50583-7,MCF 10A,10071-101-1,Palbociclib,0.0033113,uM,2,2500.00,1446.42,6744.33,7161.00,0.9437,0.9493
50583-7,MCF 10A,10071-101-1,Palbociclib,0.01,uM,2,2500.00,1446.42,6140.00,7161.00,0.8592,0.8709
50583-7,MCF 10A,10071-101-1,Palbociclib,0.031623,uM,2,2500.00,1446.42,4948.67,7161.00,0.6918,0.7029
50583-7,MCF 10A,10071-101-1,Palbociclib,0.1,uM,2,2500.00,1446.42,4692.33,7161.00,0.6499,0.6411
50583-7,MCF 10A,10071-101-1,Palbociclib,0.31623,uM,2,2500.00,1446.42,3282.00,7161.00,0.4594,0.4269
50583-7,MCF 10A,10071-101-1,Palbociclib,1,uM,2,2500.00,1446.42,2788.00,7161.00,0.3882,0.3179
50583-7,MCF 10A,10071-101-1,Palbociclib,3.1623,uM,2,2500.00,1446.42,2293.67,7161.00,0.3199,0.2196
50583-7,MCF 10A,10071-101-1,Palbociclib,10,uM,2,2500.00,1446.42,1735.33,7161.00,0.2430,0.0814
50583-7,MCF 10A,10071-101-1,Palbociclib,19.9526,uM,2,2500.00,1446.42,1558.33,7161.00,0.2164,0.0264
50583-7,MCF 10A,10146-101-3,Omipalisib,0.0016596,uM,2,5000.00,3410.67,5164.67,5991.17,0.8592,0.6517
50583-7,MCF 10A,10146-101-3,Omipalisib,0.0033113,uM,2,5000.00,3410.67,4797.00,5991.17,0.8034,0.5452
50583-7,MCF 10A,10146-101-3,Omipalisib,0.01,uM,2,5000.00,3410.67,3016.00,5991.17,0.4987,-0.1437
50583-7,MCF 10A,10146-101-3,Omipalisib,0.031623,uM,2,5000.00,3410.67,1642.00,5991.17,0.2722,-0.5916
50583-7,MCF 10A,10146-101-3,Omipalisib,0.1,uM,2,5000.00,3410.67,600.33,5991.17,0.1001,-0.8813
50583-7,MCF 10A,10146-101-3,Omipalisib,0.31623,uM,2,5000.00,3410.67,392.33,5991.17,0.0649,-0.9264
50583-7,MCF 10A,10146-101-3,Omipalisib,1,uM,2,5000.00,3410.67,343.33,5991.17,0.0570,-0.9387
50583-7,MCF 10A,10146-101-3,Omipalisib,3.1623,uM,2,5000.00,3410.67,392.33,5991.17,0.0652,-0.9284
50583-7,MCF 10A,10146-101-3,Omipalisib,10,uM,2,5000.00,3410.67,1407.33,5991.17,0.2358,-0.6644
50583-7,MCF 10A,10264-999-2,Methotrexate,0.0016596,uM,2,5000.00,3410.67,5727.67,5991.17,0.9528,0.8733
50583-7,MCF 10A,10264-999-2,Methotrexate,0.0033113,uM,2,5000.00,3410.67,5861.67,5991.17,0.9790,0.9563
50583-7,MCF 10A,10264-999-2,Methotrexate,0.01,uM,2,5000.00,3410.67,5802.00,5991.17,0.9738,0.9672
50583-7,MCF 10A,10264-999-2,Methotrexate,0.031623,uM,2,5000.00,3410.67,5651.00,5991.17,0.9449,0.8722
50583-7,MCF 10A,10264-999-2,Methotrexate,0.1,uM,2,5000.00,3410.67,1857.00,5991.17,0.3080,-0.5260
50583-7,MCF 10A,10264-999-2,Methotrexate,0.31623,uM,2,5000.00,3410.67,1590.33,5991.17,0.2651,-0.6100
50583-7,MCF 10A,10264-999-2,Methotrexate,1,uM,2,5000.00,3410.67,1680.33,5991.17,0.2797,-0.5825
50583-7,MCF 10A,10264-999-2,Methotrexate,3.1623,uM,2,5000.00,3410.67,1456.00,5991.17,0.2433,-0.6501
50583-7,MCF 10A,10264-999-2,Methotrexate,10,uM,2,5000.00,3410.67,1453.67,5991.17,0.2427,-0.6509
50583-7,MCF 10A,10102-999-6,Taxol,0.00016596,uM,2,5000.00,3410.67,6326.00,5991.17,1.0588,1.1657
50583-7,MCF 10A,10102-999-6,Taxol,0.00033113,uM,2,5000.00,3410.67,6110.33,5991.17,1.0264,1.1069
50583-7,MCF 10A,10102-999-6,Taxol,0.001,uM,2,5000.00,3410.67,5560.67,5991.17,0.9268,0.8160
50583-7,MCF 10A,10102-999-6,Taxol,0.0031623,uM,2,5000.00,3410.67,5306.33,5991.17,0.8842,0.7129
50583-7,MCF 10A,10102-999-6,Taxol,0.01,uM,2,5000.00,3410.67,2299.67,5991.17,0.3834,-0.3857
50583-7,MCF 10A,10102-999-6,Taxol,0.031623,uM,2,5000.00,3410.67,1676.33,5991.17,0.2790,-0.5836
50583-7,MCF 10A,10102-999-6,Taxol,0.1,uM,2,5000.00,3410.67,1554.33,5991.17,0.2610,-0.6200
50583-7,MCF 10A,10102-999-6,Taxol,0.31623,uM,2,5000.00,3410.67,1703.00,5991.17,0.2859,-0.5742
50583-7,MCF 10A,10102-999-6,Taxol,1,uM,2,5000.00,3410.67,1808.33,5991.17,0.3017,-0.5435
50583-7,MCF 10A,10250-999-4,Etoposide,0.0033113,uM,2,5000.00,3410.67,6863.33,6794.33,1.0132,1.0364
50583-7,MCF 10A,10250-999-4,Etoposide,0.01,uM,2,5000.00,3410.67,6315.33,6794.33,0.9314,0.8675
50583-7,MCF 10A,10250-999-4,Etoposide,0.031623,uM,2,5000.00,3410.67,5996.67,6794.33,0.8838,0.7693
50583-7,MCF 10A,10250-999-4,Etoposide,0.1,uM,2,5000.00,3410.67,6057.67,6794.33,0.8912,0.7795
50583-7,MCF 10A,10250-999-4,Etoposide,0.31623,uM,2,5000.00,3410.67,2783.33,6794.33,0.4109,-0.1840
50583-7,MCF 10A,10250-999-4,Etoposide,1,uM,2,5000.00,3410.67,1685.00,6794.33,0.2495,-0.5078
50583-7,MCF 10A,10250-999-4,Etoposide,3.1623,uM,2,5000.00,3410.67,1847.00,6794.33,0.2717,-0.4619
50583-7,MCF 10A,10250-999-4,Etoposide,10,uM,2,5000.00,3410.67,1963.33,6794.33,0.2901,-0.4261
50583-7,MCF 10A,10250-999-4,Etoposide,19.9526,uM,2,5000.00,3410.67,1939.33,6794.33,0.2862,-0.4337
50583-7,MCF 10A,10099-101-1,Nilotinib,0.0033113,uM,2,5000.00,3410.67,7225.67,6794.33,1.0644,1.1330
50583-7,MCF 10A,10099-101-1,Nilotinib,0.01,uM,2,5000.00,3410.67,6894.00,6794.33,1.0153,1.0331
50583-7,MCF 10A,10099-101-1,Nilotinib,0.031623,uM,2,5000.00,3410.67,7714.33,6794.33,1.1367,1.2809
50583-7,MCF 10A,10099-101-1,Nilotinib,0.1,uM,2,5000.00,3410.67,7822.67,6794.33,1.1512,1.3053
50583-7,MCF 10A,10099-101-1,Nilotinib,0.31623,uM,2,5000.00,3410.67,8277.33,6794.33,1.2210,1.4572
50583-7,MCF 10A,10099-101-1,Nilotinib,1,uM,2,5000.00,3410.67,8449.00,6794.33,1.2445,1.4976
50583-7,MCF 10A,10099-101-1,Nilotinib,3.1623,uM,2,5000.00,3410.67,7388.00,6794.33,1.0892,1.1865
50583-7,MCF 10A,10099-101-1,Nilotinib,10,uM,2,5000.00,3410.67,5901.67,6794.33,0.8699,0.7413
50583-7,MCF 10A,10099-101-1,Nilotinib,19.9526,uM,2,5000.00,3410.67,2697.67,6794.33,0.3978,-0.2103
50583-7,MCF 10A,10049-101-1,PLX-4720,0.0033113,uM,2,5000.00,3410.67,6953.33,6794.33,1.0249,1.0552
50583-7,MCF 10A,10049-101-1,PLX-4720,0.01,uM,2,5000.00,3410.67,7371.67,6794.33,1.0868,1.1813
50583-7,MCF 10A,10049-101-1,PLX-4720,0.031623,uM,2,5000.00,3410.67,6962.33,6794.33,1.0248,1.0502
50583-7,MCF 10A,10049-101-1,PLX-4720,0.1,uM,2,5000.00,3410.67,7104.33,6794.33,1.0475,1.1021
50583-7,MCF 10A,10049-101-1,PLX-4720,0.31623,uM,2,5000.00,3410.67,7337.00,6794.33,1.0819,1.1727
50583-7,MCF 10A,10049-101-1,PLX-4720,1,uM,2,5000.00,3410.67,7663.67,6794.33,1.1316,1.2785
50583-7,MCF 10A,10049-101-1,PLX-4720,3.1623,uM,2,5000.00,3410.67,8344.67,6794.33,1.2289,1.4658
50583-7,MCF 10A,10049-101-1,PLX-4720,10,uM,2,5000.00,3410.67,8199.67,6794.33,1.2087,1.4290
50583-7,MCF 10A,10049-101-1,PLX-4720,19.9526,uM,2,5000.00,3410.67,8749.67,6794.33,1.2912,1.6020
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.0016596,uM,2,5000.00,3410.67,6712.67,6794.33,0.9914,0.9930
50583-7,MCF 10A,10024-101-1,NVP-TAE684,0.0033113,uM,2,5000.00,3410.67,6798.00,6794.33,1.0016,1.0068
