Cell HMS LINCS ID,Cell Name,Small Molecule 1 HMS LINCS ID,Small Molecule 1 Name,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 1 Concentration,Small Mol 2 Concentration,Small Mol Conc Unit,Time Point,Time Point Unit,Replicate,Number of Cells,Primary Antibody (488) HMS LINCS ID,Primary Antibody (488) Name,Secondary Antibody (488) HMS LINCS ID,Secondary Antibody (488) Name,Protein Detected (488) HMS LINCS ID,Protein Detected (488) Name,Mean Fluorescence Intensity (488),Primary Antibody (647) HMS LINCS ID,Primary Antibody (647) Name,Secondary Antibody (647) HMS LINCS ID,Secondary Antibody (647) Name,Protein Detected (647) HMS LINCS ID,Protein Detected (647) Name,Mean Fluorescence Intensity (647),Plate Name,Plate Well
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1685,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,150.63,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,141.16,A375-B2-rep1,H2
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1675,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,168.32,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,154.64,A375-B2-rep1,H3
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1748,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,166.30,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,148.34,A375-B2-rep1,H4
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1713,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,183.53,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,151.47,A375-B2-rep1,H5
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1586,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,150.41,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,151.52,A375-B2-rep1,H6
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1496,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,154.86,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,154.03,A375-B2-rep1,H7
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1588,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,159.67,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,144.38,A375-B2-rep1,H8
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,1,1733,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,161.19,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,146.36,A375-B2-rep1,H9
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1910,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,168.46,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,175.04,A375-B2-rep2,A10
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1596,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,148.87,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,151.79,A375-B2-rep2,A11
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,2145,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,192.96,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,200.10,A375-B2-rep2,A2
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,2139,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,169.08,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,191.16,A375-B2-rep2,A3
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,2113,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,195.29,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,185.68,A375-B2-rep2,A4
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1882,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,161.60,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,180.56,A375-B2-rep2,A5
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1875,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,176.75,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,195.09,A375-B2-rep2,A6
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1569,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,159.54,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,186.02,A375-B2-rep2,A7
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1668,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,156.45,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,154.12,A375-B2-rep2,A8
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,2082,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,165.98,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,171.03,A375-B2-rep2,A9
50060-2,A-375,10068-101-1,Vemurafenib,10144-101-2,Olaparib,1.0000,0.1067,uM,48,hr,2,2141,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,172.10,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,172.84,A375-B2-rep2,B2
50060-2,A-375,10068-101-1,Vemurafenib,10303-101-1,Iniparib,1.0000,0.1067,uM,48,hr,2,2469,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,156.14,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,203.97,A375-B2-rep2,B3
50060-2,A-375,10068-101-1,Vemurafenib,10309-101-1,CTB,1.0000,0.1067,uM,48,hr,2,2227,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,169.07,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,150.81,A375-B2-rep2,B4
50060-2,A-375,10068-101-1,Vemurafenib,10315-101-1,Rocilinostat,1.0000,0.1067,uM,48,hr,2,2628,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,191.87,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,176.86,A375-B2-rep2,B5
50060-2,A-375,10068-101-1,Vemurafenib,10321-110-1,GSK-J1,1.0000,0.1067,uM,48,hr,2,2557,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,175.06,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,180.64,A375-B2-rep2,B6
50060-2,A-375,10068-101-1,Vemurafenib,10327-101-1,PFI-1,1.0000,0.1067,uM,48,hr,2,2198,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,144.45,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,167.49,A375-B2-rep2,B7
50060-2,A-375,10068-101-1,Vemurafenib,10333-101-1,UNC669,1.0000,0.1067,uM,48,hr,2,2020,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,138.07,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,160.38,A375-B2-rep2,B8
50060-2,A-375,10068-101-1,Vemurafenib,10145-102-1,Veliparib,1.0000,0.1067,uM,48,hr,2,2173,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,161.93,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,165.85,A375-B2-rep2,C2
50060-2,A-375,10068-101-1,Vemurafenib,10304-105-1,Rucaparib,1.0000,0.1067,uM,48,hr,2,2239,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,153.46,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,159.08,A375-B2-rep2,C3
50060-2,A-375,10068-101-1,Vemurafenib,10310-101-1,Belinostat,1.0000,0.1067,uM,48,hr,2,2898,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,184.66,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,44.08,A375-B2-rep2,C4
50060-2,A-375,10068-101-1,Vemurafenib,10316-101-1,Selisistat,1.0000,0.1067,uM,48,hr,2,2645,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,169.06,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,179.21,A375-B2-rep2,C5
50060-2,A-375,10068-101-1,Vemurafenib,10322-110-1,GSK-J2,1.0000,0.1067,uM,48,hr,2,2747,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,160.01,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,157.50,A375-B2-rep2,C6
50060-2,A-375,10068-101-1,Vemurafenib,10328-101-1,(+)-JQ1,1.0000,0.1067,uM,48,hr,2,2498,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,122.23,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,95.78,A375-B2-rep2,C7
50060-2,A-375,10068-101-1,Vemurafenib,10334-101-1,UNC1215,1.0000,0.1067,uM,48,hr,2,2603,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,152.59,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,163.76,A375-B2-rep2,C8
50060-2,A-375,10068-101-1,Vemurafenib,10282-101-2,Vorinostat,1.0000,0.1067,uM,48,hr,2,2959,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,277.98,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,129.76,A375-B2-rep2,D2
50060-2,A-375,10068-101-1,Vemurafenib,10305-101-1,JW55,1.0000,0.1067,uM,48,hr,2,2703,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,149.09,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,169.94,A375-B2-rep2,D3
50060-2,A-375,10068-101-1,Vemurafenib,10311-101-1,Entinostat,1.0000,0.1067,uM,48,hr,2,3256,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,245.92,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,251.65,A375-B2-rep2,D4
50060-2,A-375,10068-101-1,Vemurafenib,10317-101-1,AGK2,1.0000,0.1067,uM,48,hr,2,3264,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,185.18,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,175.19,A375-B2-rep2,D5
50060-2,A-375,10068-101-1,Vemurafenib,10323-102-1,GSK-J4,1.0000,0.1067,uM,48,hr,2,3245,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,160.22,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,162.74,A375-B2-rep2,D6
50060-2,A-375,10068-101-1,Vemurafenib,10329-101-1,(-)-JQ1,1.0000,0.1067,uM,48,hr,2,2939,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,160.07,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,187.46,A375-B2-rep2,D7
50060-2,A-375,10068-101-1,Vemurafenib,10335-101-1,IOX2,1.0000,0.1067,uM,48,hr,2,2777,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,156.74,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,180.49,A375-B2-rep2,D8
50060-2,A-375,10068-101-1,Vemurafenib,10300-101-1,Azacitidine,1.0000,0.1067,uM,48,hr,2,2202,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,173.55,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,137.51,A375-B2-rep2,E2
50060-2,A-375,10068-101-1,Vemurafenib,10306-101-1,C646,1.0000,0.1067,uM,48,hr,2,2676,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,166.48,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,161.93,A375-B2-rep2,E3
50060-2,A-375,10068-101-1,Vemurafenib,10312-101-1,Mocetinostat,1.0000,0.1067,uM,48,hr,2,3376,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,267.71,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,465.75,A375-B2-rep2,E4
50060-2,A-375,10068-101-1,Vemurafenib,10318-101-1,Resveratrol,1.0000,0.1067,uM,48,hr,2,2986,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,168.20,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,175.26,A375-B2-rep2,E5
50060-2,A-375,10068-101-1,Vemurafenib,10324-101-1,Daminozide,1.0000,0.1067,uM,48,hr,2,3195,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,177.92,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,177.56,A375-B2-rep2,E6
50060-2,A-375,10068-101-1,Vemurafenib,10330-101-1,I-BET,1.0000,0.1067,uM,48,hr,2,2858,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,144.80,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,167.95,A375-B2-rep2,E7
50060-2,A-375,10068-101-1,Vemurafenib,10336-101-1,Epigallocatechin gallate,1.0000,0.1067,uM,48,hr,2,2944,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,192.74,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,163.13,A375-B2-rep2,E8
50060-2,A-375,10068-101-1,Vemurafenib,10301-101-1,Decitabine,1.0000,0.1067,uM,48,hr,2,2067,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,158.72,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,148.91,A375-B2-rep2,F2
50060-2,A-375,10068-101-1,Vemurafenib,10307-101-1,Garcinol,1.0000,0.1067,uM,48,hr,2,2577,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,178.61,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,168.67,A375-B2-rep2,F3
50060-2,A-375,10068-101-1,Vemurafenib,10313-101-1,Pracinostat,1.0000,0.1067,uM,48,hr,2,3139,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,547.64,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,127.96,A375-B2-rep2,F4
50060-2,A-375,10068-101-1,Vemurafenib,10319-101-1,BIX-01294,1.0000,0.1067,uM,48,hr,2,2538,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,149.02,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,153.89,A375-B2-rep2,F5
50060-2,A-375,10068-101-1,Vemurafenib,10325-101-1,Methylstat,1.0000,0.1067,uM,48,hr,2,2638,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,143.17,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,152.99,A375-B2-rep2,F6
50060-2,A-375,10068-101-1,Vemurafenib,10331-101-1,I-BET151,1.0000,0.1067,uM,48,hr,2,2822,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,140.62,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,182.94,A375-B2-rep2,F7
50060-2,A-375,10068-101-1,Vemurafenib,10339-101-1,CX-5461,1.0000,0.1067,uM,48,hr,2,1802,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,121.80,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,134.98,A375-B2-rep2,F8
50060-2,A-375,10068-101-1,Vemurafenib,10302-101-1,RG-108,1.0000,0.1067,uM,48,hr,2,2074,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,154.49,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,139.25,A375-B2-rep2,G2
50060-2,A-375,10068-101-1,Vemurafenib,10308-101-1,Anacardic acid,1.0000,0.1067,uM,48,hr,2,2049,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,170.49,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,140.28,A375-B2-rep2,G3
50060-2,A-375,10068-101-1,Vemurafenib,10314-101-1,MC1568,1.0000,0.1067,uM,48,hr,2,2119,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,209.27,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,157.16,A375-B2-rep2,G4
50060-2,A-375,10068-101-1,Vemurafenib,10320-101-1,UNC0638,1.0000,0.1067,uM,48,hr,2,2188,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,167.32,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,140.34,A375-B2-rep2,G5
50060-2,A-375,10068-101-1,Vemurafenib,10326-102-1,Tranylcypromine,1.0000,0.1067,uM,48,hr,2,1897,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,144.61,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,138.48,A375-B2-rep2,G6
50060-2,A-375,10068-101-1,Vemurafenib,10332-101-1,Ischemin,1.0000,0.1067,uM,48,hr,2,2019,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,157.59,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,146.24,A375-B2-rep2,G7
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1485,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,155.40,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,124.35,A375-B2-rep2,H10
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1564,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,129.45,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,110.35,A375-B2-rep2,H11
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1626,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,158.56,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,142.15,A375-B2-rep2,H2
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1568,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,173.46,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,132.48,A375-B2-rep2,H3
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1560,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,133.12,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,135.12,A375-B2-rep2,H4
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1377,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,149.79,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,130.22,A375-B2-rep2,H5
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1391,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,157.37,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,133.06,A375-B2-rep2,H6
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1348,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,158.69,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,125.38,A375-B2-rep2,H7
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1439,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,142.21,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,140.69,A375-B2-rep2,H8
50060-2,A-375,10068-101-1,Vemurafenib,,,1.0000,,uM,48,hr,2,1514,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,164.99,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,137.41,A375-B2-rep2,H9
50149-4,COLO 858,10068-101-1,Vemurafenib,,,0.3160,,uM,48,hr,1,1391,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,358.32,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,158.87,Colo858-A2-rep1,A10
50149-4,COLO 858,10068-101-1,Vemurafenib,,,0.3160,,uM,48,hr,1,1242,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,296.85,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,156.51,Colo858-A2-rep1,A11
50149-4,COLO 858,10068-101-1,Vemurafenib,,,0.3160,,uM,48,hr,1,1202,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,347.86,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,141.29,Colo858-A2-rep1,A2
50149-4,COLO 858,10068-101-1,Vemurafenib,,,0.3160,,uM,48,hr,1,1024,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,345.50,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,135.78,Colo858-A2-rep1,A3
50149-4,COLO 858,10068-101-1,Vemurafenib,,,0.3160,,uM,48,hr,1,1076,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,288.18,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,162.29,Colo858-A2-rep1,A4
50149-4,COLO 858,10068-101-1,Vemurafenib,,,0.3160,,uM,48,hr,1,1122,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,296.79,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,157.80,Colo858-A2-rep1,A5
50149-4,COLO 858,10068-101-1,Vemurafenib,,,0.3160,,uM,48,hr,1,920,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,297.13,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,146.65,Colo858-A2-rep1,A6
50149-4,COLO 858,10068-101-1,Vemurafenib,,,0.3160,,uM,48,hr,1,1095,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,337.39,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,164.33,Colo858-A2-rep1,A7
50149-4,COLO 858,10068-101-1,Vemurafenib,,,0.3160,,uM,48,hr,1,897,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,335.21,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,126.80,Colo858-A2-rep1,A8
50149-4,COLO 858,10068-101-1,Vemurafenib,,,0.3160,,uM,48,hr,1,1371,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,358.01,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,148.58,Colo858-A2-rep1,A9
50149-4,COLO 858,10068-101-1,Vemurafenib,10144-101-2,Olaparib,0.3160,2.6667,uM,48,hr,1,1345,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,290.82,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,146.21,Colo858-A2-rep1,B2
50149-4,COLO 858,10068-101-1,Vemurafenib,10303-101-1,Iniparib,0.3160,2.6667,uM,48,hr,1,1703,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,310.30,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,122.97,Colo858-A2-rep1,B3
50149-4,COLO 858,10068-101-1,Vemurafenib,10309-101-1,CTB,0.3160,2.6667,uM,48,hr,1,1748,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,291.14,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,149.16,Colo858-A2-rep1,B4
50149-4,COLO 858,10068-101-1,Vemurafenib,10315-101-1,Rocilinostat,0.3160,2.6667,uM,48,hr,1,755,80080-1,KI-67 / clone 8D5,80055-2,mouse IgG(H+L) / donkey,201296,KI-67,163.81,80081-1,NGFR,80069-2,rabbit IgG(H+L) / donkey,201399,NGFR,184.22,Colo858-A2-rep1,B5
