Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,2nd Drug,Drug Concentration,Conc Unit,Time Point,Time Point Unit,Image,Measured Protein (Alexa Fluor 488),Measured Protein Value (488),Measured Protein (Alexa Fluor 568),Measured Protein Value (568),Measured Protein (Alexa Fluor 647),Measured Protein Value (647),Replicate,Plate Name,Plate Well
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0082,uM,24,hr,447030,Ki-67,2239.40,p-Rb(S807/S811),151.71,p-cJun(S73),29.36,1,Colo858-signal3,B9
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0033,uM,24,hr,447336,Ki-67,2240.50,p-Rb(S807/S811),144.95,p-cJun(S73),28.17,2,Colo858-signal3,C10
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0000,uM,24,hr,447534,Ki-67,2259.80,p-Rb(S807/S811),154.64,p-cJun(S73),29.83,2,Colo858-signal3,C11
10068-101-1,Vemurafenib,50149-1,COLO 858,,5.0000,uM,24,hr,447228,Ki-67,947.93,p-Rb(S807/S811),51.31,p-cJun(S73),41.01,2,Colo858-signal3,C2
10068-101-1,Vemurafenib,50149-1,COLO 858,,2.0000,uM,24,hr,447219,Ki-67,782.90,p-Rb(S807/S811),45.43,p-cJun(S73),59.46,2,Colo858-signal3,C3
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.8000,uM,24,hr,447426,Ki-67,680.51,p-Rb(S807/S811),40.34,p-cJun(S73),71.07,2,Colo858-signal3,C4
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.3200,uM,24,hr,447354,Ki-67,660.32,p-Rb(S807/S811),48.67,p-cJun(S73),67.95,2,Colo858-signal3,C5
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.1280,uM,24,hr,447147,Ki-67,1050.90,p-Rb(S807/S811),82.58,p-cJun(S73),62.66,2,Colo858-signal3,C6
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0512,uM,24,hr,447345,Ki-67,1637.20,p-Rb(S807/S811),124.19,p-cJun(S73),36.36,2,Colo858-signal3,C7
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0205,uM,24,hr,447381,Ki-67,2138.80,p-Rb(S807/S811),144.45,p-cJun(S73),30.43,2,Colo858-signal3,C8
10068-101-1,Vemurafenib,50149-1,COLO 858,,0.0082,uM,24,hr,447156,Ki-67,2183.20,p-Rb(S807/S811),146.71,p-cJun(S73),28.18,2,Colo858-signal3,C9
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0033,uM,24,hr,447489,Ki-67,2257.20,p-Rb(S807/S811),149.91,p-cJun(S73),29.66,1,Colo858-signal3,D10
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0000,uM,24,hr,447057,Ki-67,2186.70,p-Rb(S807/S811),147.06,p-cJun(S73),28.84,1,Colo858-signal3,D11
10363-101-1,JNK-IN-8,50149-1,COLO 858,,5.0000,uM,24,hr,447516,Ki-67,2447.10,p-Rb(S807/S811),231.66,p-cJun(S73),37.00,1,Colo858-signal3,D2
10363-101-1,JNK-IN-8,50149-1,COLO 858,,2.0000,uM,24,hr,447039,Ki-67,2559.90,p-Rb(S807/S811),217.09,p-cJun(S73),34.91,1,Colo858-signal3,D3
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.8000,uM,24,hr,447525,Ki-67,2383.20,p-Rb(S807/S811),179.73,p-cJun(S73),31.88,1,Colo858-signal3,D4
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.3200,uM,24,hr,447480,Ki-67,2279.00,p-Rb(S807/S811),170.95,p-cJun(S73),30.51,1,Colo858-signal3,D5
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.1280,uM,24,hr,447120,Ki-67,2238.80,p-Rb(S807/S811),159.49,p-cJun(S73),30.74,1,Colo858-signal3,D6
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0512,uM,24,hr,447291,Ki-67,2200.30,p-Rb(S807/S811),153.90,p-cJun(S73),30.11,1,Colo858-signal3,D7
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0205,uM,24,hr,447237,Ki-67,2267.30,p-Rb(S807/S811),156.38,p-cJun(S73),31.07,1,Colo858-signal3,D8
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0082,uM,24,hr,447012,Ki-67,2226.10,p-Rb(S807/S811),150.62,p-cJun(S73),29.95,1,Colo858-signal3,D9
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0033,uM,24,hr,447300,Ki-67,2318.80,p-Rb(S807/S811),153.43,p-cJun(S73),29.19,2,Colo858-signal3,E10
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0000,uM,24,hr,447138,Ki-67,2266.10,p-Rb(S807/S811),152.55,p-cJun(S73),28.74,2,Colo858-signal3,E11
10363-101-1,JNK-IN-8,50149-1,COLO 858,,5.0000,uM,24,hr,447327,Ki-67,2634.30,p-Rb(S807/S811),252.91,p-cJun(S73),39.50,2,Colo858-signal3,E2
10363-101-1,JNK-IN-8,50149-1,COLO 858,,2.0000,uM,24,hr,447318,Ki-67,2641.30,p-Rb(S807/S811),226.22,p-cJun(S73),34.79,2,Colo858-signal3,E3
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.8000,uM,24,hr,447210,Ki-67,2394.30,p-Rb(S807/S811),184.89,p-cJun(S73),30.67,2,Colo858-signal3,E4
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.3200,uM,24,hr,447363,Ki-67,2300.70,p-Rb(S807/S811),172.32,p-cJun(S73),30.64,2,Colo858-signal3,E5
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.1280,uM,24,hr,447444,Ki-67,2233.20,p-Rb(S807/S811),162.30,p-cJun(S73),29.52,2,Colo858-signal3,E6
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0512,uM,24,hr,447075,Ki-67,2172.00,p-Rb(S807/S811),160.38,p-cJun(S73),29.06,2,Colo858-signal3,E7
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0205,uM,24,hr,447309,Ki-67,2269.90,p-Rb(S807/S811),156.97,p-cJun(S73),29.44,2,Colo858-signal3,E8
10363-101-1,JNK-IN-8,50149-1,COLO 858,,0.0082,uM,24,hr,447498,Ki-67,2294.40,p-Rb(S807/S811),151.40,p-cJun(S73),29.18,2,Colo858-signal3,E9
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0033,uM,24,hr,447165,Ki-67,2257.40,p-Rb(S807/S811),152.83,p-cJun(S73),28.15,1,Colo858-signal3,F10
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0000,uM,24,hr,447201,Ki-67,2257.00,p-Rb(S807/S811),151.09,p-cJun(S73),29.94,1,Colo858-signal3,F11
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,5.0000,uM,24,hr,447462,Ki-67,1967.00,p-Rb(S807/S811),99.41,p-cJun(S73),22.51,1,Colo858-signal3,F2
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,2.0000,uM,24,hr,447192,Ki-67,1130.80,p-Rb(S807/S811),51.60,p-cJun(S73),14.98,1,Colo858-signal3,F3
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.8000,uM,24,hr,447453,Ki-67,807.26,p-Rb(S807/S811),48.49,p-cJun(S73),14.54,1,Colo858-signal3,F4
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.3200,uM,24,hr,447021,Ki-67,797.23,p-Rb(S807/S811),51.78,p-cJun(S73),20.45,1,Colo858-signal3,F5
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.1280,uM,24,hr,447129,Ki-67,1090.60,p-Rb(S807/S811),84.26,p-cJun(S73),33.13,1,Colo858-signal3,F6
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0512,uM,24,hr,447282,Ki-67,1684.50,p-Rb(S807/S811),129.01,p-cJun(S73),29.91,1,Colo858-signal3,F7
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0205,uM,24,hr,447273,Ki-67,2146.20,p-Rb(S807/S811),150.60,p-cJun(S73),28.79,1,Colo858-signal3,F8
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0082,uM,24,hr,447111,Ki-67,2177.30,p-Rb(S807/S811),151.57,p-cJun(S73),28.39,1,Colo858-signal3,F9
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0033,uM,24,hr,447390,Ki-67,2368.00,p-Rb(S807/S811),158.88,p-cJun(S73),29.06,2,Colo858-signal3,G10
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0000,uM,24,hr,447372,Ki-67,2392.50,p-Rb(S807/S811),158.97,p-cJun(S73),29.83,2,Colo858-signal3,G11
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,5.0000,uM,24,hr,447084,Ki-67,2211.10,p-Rb(S807/S811),96.70,p-cJun(S73),24.08,2,Colo858-signal3,G2
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,2.0000,uM,24,hr,447408,Ki-67,1116.10,p-Rb(S807/S811),51.88,p-cJun(S73),15.04,2,Colo858-signal3,G3
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.8000,uM,24,hr,447471,Ki-67,747.98,p-Rb(S807/S811),47.12,p-cJun(S73),13.64,2,Colo858-signal3,G4
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.3200,uM,24,hr,447093,Ki-67,756.62,p-Rb(S807/S811),56.61,p-cJun(S73),22.24,2,Colo858-signal3,G5
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.1280,uM,24,hr,447174,Ki-67,1122.40,p-Rb(S807/S811),98.57,p-cJun(S73),31.92,2,Colo858-signal3,G6
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0512,uM,24,hr,447399,Ki-67,1608.40,p-Rb(S807/S811),136.81,p-cJun(S73),31.60,2,Colo858-signal3,G7
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0205,uM,24,hr,447066,Ki-67,2064.40,p-Rb(S807/S811),152.34,p-cJun(S73),26.96,2,Colo858-signal3,G8
10068-101-1,Vemurafenib,50149-1,COLO 858,JNK-IN-8,0.0082,uM,24,hr,447102,Ki-67,2282.60,p-Rb(S807/S811),152.28,p-cJun(S73),28.92,2,Colo858-signal3,G9
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0033,uM,24,hr,447957,p27 Kip1,339.87,p-Rb(S807/S811),207.46,p-ERK(T202/Y204),188.18,1,LOXIMVI-signal1,B10
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0000,uM,24,hr,447984,p27 Kip1,346.49,p-Rb(S807/S811),215.22,p-ERK(T202/Y204),215.11,1,LOXIMVI-signal1,B11
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,5.0000,uM,24,hr,447551,p27 Kip1,499.44,p-Rb(S807/S811),81.11,p-ERK(T202/Y204),31.87,1,LOXIMVI-signal1,B2
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,2.0000,uM,24,hr,447993,p27 Kip1,456.75,p-Rb(S807/S811),94.75,p-ERK(T202/Y204),28.87,1,LOXIMVI-signal1,B3
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.8000,uM,24,hr,448047,p27 Kip1,437.65,p-Rb(S807/S811),139.21,p-ERK(T202/Y204),46.29,1,LOXIMVI-signal1,B4
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.3200,uM,24,hr,447687,p27 Kip1,395.79,p-Rb(S807/S811),157.15,p-ERK(T202/Y204),59.04,1,LOXIMVI-signal1,B5
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.1280,uM,24,hr,447948,p27 Kip1,366.51,p-Rb(S807/S811),180.61,p-ERK(T202/Y204),84.29,1,LOXIMVI-signal1,B6
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0512,uM,24,hr,448011,p27 Kip1,344.62,p-Rb(S807/S811),191.81,p-ERK(T202/Y204),94.25,1,LOXIMVI-signal1,B7
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0205,uM,24,hr,447714,p27 Kip1,330.03,p-Rb(S807/S811),203.83,p-ERK(T202/Y204),137.92,1,LOXIMVI-signal1,B8
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0082,uM,24,hr,447723,p27 Kip1,317.67,p-Rb(S807/S811),200.59,p-ERK(T202/Y204),170.43,1,LOXIMVI-signal1,B9
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0033,uM,24,hr,447786,p27 Kip1,312.49,p-Rb(S807/S811),203.40,p-ERK(T202/Y204),185.08,2,LOXIMVI-signal1,C10
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0000,uM,24,hr,447795,p27 Kip1,330.81,p-Rb(S807/S811),208.35,p-ERK(T202/Y204),212.82,2,LOXIMVI-signal1,C11
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,5.0000,uM,24,hr,448002,p27 Kip1,487.55,p-Rb(S807/S811),84.67,p-ERK(T202/Y204),31.63,2,LOXIMVI-signal1,C2
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,2.0000,uM,24,hr,447822,p27 Kip1,457.12,p-Rb(S807/S811),91.96,p-ERK(T202/Y204),30.10,2,LOXIMVI-signal1,C3
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.8000,uM,24,hr,447705,p27 Kip1,434.48,p-Rb(S807/S811),132.48,p-ERK(T202/Y204),43.96,2,LOXIMVI-signal1,C4
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.3200,uM,24,hr,447849,p27 Kip1,384.63,p-Rb(S807/S811),153.53,p-ERK(T202/Y204),56.47,2,LOXIMVI-signal1,C5
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.1280,uM,24,hr,447921,p27 Kip1,364.85,p-Rb(S807/S811),178.03,p-ERK(T202/Y204),76.08,2,LOXIMVI-signal1,C6
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0512,uM,24,hr,448038,p27 Kip1,346.34,p-Rb(S807/S811),184.23,p-ERK(T202/Y204),94.79,2,LOXIMVI-signal1,C7
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0205,uM,24,hr,447867,p27 Kip1,319.35,p-Rb(S807/S811),195.10,p-ERK(T202/Y204),133.04,2,LOXIMVI-signal1,C8
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0082,uM,24,hr,447732,p27 Kip1,317.72,p-Rb(S807/S811),203.25,p-ERK(T202/Y204),167.85,2,LOXIMVI-signal1,C9
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.0033,uM,24,hr,447912,p27 Kip1,307.47,p-Rb(S807/S811),207.98,p-ERK(T202/Y204),211.16,1,LOXIMVI-signal1,D10
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.0000,uM,24,hr,447840,p27 Kip1,348.21,p-Rb(S807/S811),217.92,p-ERK(T202/Y204),232.50,1,LOXIMVI-signal1,D11
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,5.0000,uM,24,hr,447660,p27 Kip1,464.53,p-Rb(S807/S811),268.11,p-ERK(T202/Y204),267.97,1,LOXIMVI-signal1,D2
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,2.0000,uM,24,hr,447876,p27 Kip1,376.92,p-Rb(S807/S811),258.15,p-ERK(T202/Y204),235.58,1,LOXIMVI-signal1,D3
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.8000,uM,24,hr,447570,p27 Kip1,336.96,p-Rb(S807/S811),231.40,p-ERK(T202/Y204),222.11,1,LOXIMVI-signal1,D4
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.3200,uM,24,hr,447930,p27 Kip1,312.28,p-Rb(S807/S811),224.98,p-ERK(T202/Y204),217.75,1,LOXIMVI-signal1,D5
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.1280,uM,24,hr,447939,p27 Kip1,319.20,p-Rb(S807/S811),216.66,p-ERK(T202/Y204),220.23,1,LOXIMVI-signal1,D6
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.0512,uM,24,hr,447975,p27 Kip1,316.14,p-Rb(S807/S811),216.98,p-ERK(T202/Y204),207.82,1,LOXIMVI-signal1,D7
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.0205,uM,24,hr,447858,p27 Kip1,303.56,p-Rb(S807/S811),209.54,p-ERK(T202/Y204),206.46,1,LOXIMVI-signal1,D8
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.0082,uM,24,hr,448056,p27 Kip1,307.33,p-Rb(S807/S811),208.17,p-ERK(T202/Y204),200.97,1,LOXIMVI-signal1,D9
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.0033,uM,24,hr,447552,p27 Kip1,293.36,p-Rb(S807/S811),201.67,p-ERK(T202/Y204),200.98,2,LOXIMVI-signal1,E10
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.0000,uM,24,hr,447624,p27 Kip1,351.82,p-Rb(S807/S811),222.97,p-ERK(T202/Y204),225.84,2,LOXIMVI-signal1,E11
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,5.0000,uM,24,hr,448020,p27 Kip1,472.18,p-Rb(S807/S811),278.69,p-ERK(T202/Y204),272.54,2,LOXIMVI-signal1,E2
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,2.0000,uM,24,hr,447669,p27 Kip1,368.98,p-Rb(S807/S811),251.60,p-ERK(T202/Y204),236.95,2,LOXIMVI-signal1,E3
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.8000,uM,24,hr,447903,p27 Kip1,330.87,p-Rb(S807/S811),223.53,p-ERK(T202/Y204),212.37,2,LOXIMVI-signal1,E4
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.3200,uM,24,hr,447588,p27 Kip1,306.81,p-Rb(S807/S811),215.56,p-ERK(T202/Y204),200.77,2,LOXIMVI-signal1,E5
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.1280,uM,24,hr,447579,p27 Kip1,297.55,p-Rb(S807/S811),211.55,p-ERK(T202/Y204),210.25,2,LOXIMVI-signal1,E6
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.0512,uM,24,hr,447777,p27 Kip1,303.12,p-Rb(S807/S811),207.96,p-ERK(T202/Y204),204.10,2,LOXIMVI-signal1,E7
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.0205,uM,24,hr,447633,p27 Kip1,286.32,p-Rb(S807/S811),204.47,p-ERK(T202/Y204),198.65,2,LOXIMVI-signal1,E8
10363-101-1,JNK-IN-8,50988-1,LOXIMVI,,0.0082,uM,24,hr,447597,p27 Kip1,300.54,p-Rb(S807/S811),201.98,p-ERK(T202/Y204),205.87,2,LOXIMVI-signal1,E9
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.0033,uM,24,hr,448074,p27 Kip1,307.03,p-Rb(S807/S811),198.87,p-ERK(T202/Y204),175.67,1,LOXIMVI-signal1,F10
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.0000,uM,24,hr,447561,p27 Kip1,362.35,p-Rb(S807/S811),212.69,p-ERK(T202/Y204),226.97,1,LOXIMVI-signal1,F11
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,5.0000,uM,24,hr,447759,p27 Kip1,598.80,p-Rb(S807/S811),103.77,p-ERK(T202/Y204),63.79,1,LOXIMVI-signal1,F2
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,2.0000,uM,24,hr,447804,p27 Kip1,560.57,p-Rb(S807/S811),82.73,p-ERK(T202/Y204),44.60,1,LOXIMVI-signal1,F3
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.8000,uM,24,hr,447768,p27 Kip1,546.66,p-Rb(S807/S811),87.40,p-ERK(T202/Y204),40.47,1,LOXIMVI-signal1,F4
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.3200,uM,24,hr,447894,p27 Kip1,441.68,p-Rb(S807/S811),125.56,p-ERK(T202/Y204),43.30,1,LOXIMVI-signal1,F5
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.1280,uM,24,hr,448065,p27 Kip1,356.71,p-Rb(S807/S811),166.33,p-ERK(T202/Y204),71.63,1,LOXIMVI-signal1,F6
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.0512,uM,24,hr,447615,p27 Kip1,338.89,p-Rb(S807/S811),176.50,p-ERK(T202/Y204),86.35,1,LOXIMVI-signal1,F7
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.0205,uM,24,hr,447642,p27 Kip1,304.49,p-Rb(S807/S811),193.11,p-ERK(T202/Y204),131.86,1,LOXIMVI-signal1,F8
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.0082,uM,24,hr,447813,p27 Kip1,310.13,p-Rb(S807/S811),197.48,p-ERK(T202/Y204),166.06,1,LOXIMVI-signal1,F9
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.0033,uM,24,hr,447651,p27 Kip1,303.58,p-Rb(S807/S811),202.43,p-ERK(T202/Y204),184.11,2,LOXIMVI-signal1,G10
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.0000,uM,24,hr,447966,p27 Kip1,351.99,p-Rb(S807/S811),215.31,p-ERK(T202/Y204),217.61,2,LOXIMVI-signal1,G11
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,5.0000,uM,24,hr,448029,p27 Kip1,609.38,p-Rb(S807/S811),99.97,p-ERK(T202/Y204),70.02,2,LOXIMVI-signal1,G2
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,2.0000,uM,24,hr,447885,p27 Kip1,533.87,p-Rb(S807/S811),85.56,p-ERK(T202/Y204),37.31,2,LOXIMVI-signal1,G3
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.8000,uM,24,hr,447741,p27 Kip1,482.18,p-Rb(S807/S811),101.92,p-ERK(T202/Y204),31.10,2,LOXIMVI-signal1,G4
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.3200,uM,24,hr,447750,p27 Kip1,432.08,p-Rb(S807/S811),123.48,p-ERK(T202/Y204),43.03,2,LOXIMVI-signal1,G5
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.1280,uM,24,hr,447696,p27 Kip1,348.86,p-Rb(S807/S811),169.33,p-ERK(T202/Y204),67.27,2,LOXIMVI-signal1,G6
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.0512,uM,24,hr,447678,p27 Kip1,325.15,p-Rb(S807/S811),174.20,p-ERK(T202/Y204),85.62,2,LOXIMVI-signal1,G7
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.0205,uM,24,hr,447606,p27 Kip1,317.63,p-Rb(S807/S811),191.25,p-ERK(T202/Y204),128.24,2,LOXIMVI-signal1,G8
10068-101-1,Vemurafenib,50988-1,LOXIMVI,JNK-IN-8,0.0082,uM,24,hr,447831,p27 Kip1,307.93,p-Rb(S807/S811),203.95,p-ERK(T202/Y204),169.30,2,LOXIMVI-signal1,G9
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0033,uM,24,hr,448452,p-Histone H3(S10),290.41,p-Rb(S807/S811),222.56,p-S6(S235/S236,435.26,1,LOXIMVI-signal2,B10
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0000,uM,24,hr,448434,p-Histone H3(S10),304.49,p-Rb(S807/S811),234.76,p-S6(S235/S236,449.34,1,LOXIMVI-signal2,B11
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,5.0000,uM,24,hr,448091,p-Histone H3(S10),210.99,p-Rb(S807/S811),80.53,p-S6(S235/S236,102.92,1,LOXIMVI-signal2,B2
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,2.0000,uM,24,hr,448182,p-Histone H3(S10),203.52,p-Rb(S807/S811),97.55,p-S6(S235/S236,181.29,1,LOXIMVI-signal2,B3
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.8000,uM,24,hr,448272,p-Histone H3(S10),237.39,p-Rb(S807/S811),127.65,p-S6(S235/S236,339.13,1,LOXIMVI-signal2,B4
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.3200,uM,24,hr,448542,p-Histone H3(S10),239.52,p-Rb(S807/S811),154.83,p-S6(S235/S236,375.76,1,LOXIMVI-signal2,B5
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.1280,uM,24,hr,448128,p-Histone H3(S10),282.64,p-Rb(S807/S811),182.20,p-S6(S235/S236,400.81,1,LOXIMVI-signal2,B6
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0512,uM,24,hr,448155,p-Histone H3(S10),255.47,p-Rb(S807/S811),192.91,p-S6(S235/S236,440.25,1,LOXIMVI-signal2,B7
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0205,uM,24,hr,448218,p-Histone H3(S10),298.38,p-Rb(S807/S811),219.79,p-S6(S235/S236,438.42,1,LOXIMVI-signal2,B8
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0082,uM,24,hr,448587,p-Histone H3(S10),288.44,p-Rb(S807/S811),221.82,p-S6(S235/S236,462.92,1,LOXIMVI-signal2,B9
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0033,uM,24,hr,448344,p-Histone H3(S10),248.94,p-Rb(S807/S811),222.89,p-S6(S235/S236,425.05,2,LOXIMVI-signal2,C10
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0000,uM,24,hr,448101,p-Histone H3(S10),318.16,p-Rb(S807/S811),230.07,p-S6(S235/S236,423.94,2,LOXIMVI-signal2,C11
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,5.0000,uM,24,hr,448614,p-Histone H3(S10),218.07,p-Rb(S807/S811),73.50,p-S6(S235/S236,96.41,2,LOXIMVI-signal2,C2
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,2.0000,uM,24,hr,448200,p-Histone H3(S10),184.72,p-Rb(S807/S811),84.06,p-S6(S235/S236,180.02,2,LOXIMVI-signal2,C3
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.8000,uM,24,hr,448119,p-Histone H3(S10),248.35,p-Rb(S807/S811),129.91,p-S6(S235/S236,357.36,2,LOXIMVI-signal2,C4
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.3200,uM,24,hr,448227,p-Histone H3(S10),249.36,p-Rb(S807/S811),148.83,p-S6(S235/S236,383.67,2,LOXIMVI-signal2,C5
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.1280,uM,24,hr,448092,p-Histone H3(S10),280.25,p-Rb(S807/S811),186.93,p-S6(S235/S236,402.53,2,LOXIMVI-signal2,C6
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0512,uM,24,hr,448425,p-Histone H3(S10),256.68,p-Rb(S807/S811),191.36,p-S6(S235/S236,398.98,2,LOXIMVI-signal2,C7
10068-101-1,Vemurafenib,50988-1,LOXIMVI,,0.0205,uM,24,hr,448398,p-Histone H3(S10),265.14,p-Rb(S807/S811),204.08,p-S6(S235/S236,419.00,2,LOXIMVI-signal2,C8
