Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Mean Relative Cell Count,Standard Error of the Mean for Relative Cell Count,Mean Relative Growth Rate,Standard Error of the Mean for Relative Growth Rate
50238-3,Hs 578T,10031-101-1,KIN001-043,0.37,uM,LJP6,1.0201,0.0136,1.0275,0.0194
50238-3,Hs 578T,10233-101-1,Alpelisib,0.37,uM,LJP5,0.8765,0.0161,0.8390,0.0191
50238-3,Hs 578T,10161-101-1,Luminespib,0.37,uM,LJP5,0.2730,0.0667,0.0528,0.0609
50238-3,Hs 578T,10045-101-1,A443654,0.37,uM,LJP6,0.2057,0.0569,-0.0354,0.0279
50238-3,Hs 578T,10063-102-1,OSI-027,0.37,uM,LJP6,0.7423,0.0174,0.6633,0.0172
50238-3,Hs 578T,10087-101-1,XMD11-85h,0.37,uM,LJP6,0.9162,0.0279,0.8926,0.0313
50238-3,Hs 578T,10017-101-1,HG-6-64-01,0.37,uM,LJP6,0.7345,0.1683,0.6682,0.1982
50238-3,Hs 578T,10039-101-1,WH-4-025,0.37,uM,LJP5,0.4695,0.0921,0.3147,0.0895
50238-3,Hs 578T,10082-101-1,WZ-4-145,0.37,uM,LJP6,0.6101,0.0336,0.4924,0.0217
50238-3,Hs 578T,10091-101-1,XMD16-144,0.37,uM,LJP5,0.3023,0.0687,0.0923,0.0564
50238-3,Hs 578T,10177-101-1,Brivanib,0.37,uM,LJP5,0.9715,0.0063,0.9623,0.0093
50238-3,Hs 578T,10147-101-1,Buparlisib,0.37,uM,LJP5,0.6954,0.0379,0.6046,0.0346
50238-3,Hs 578T,10055-101-1,BX-912,0.37,uM,LJP5,0.7587,0.1048,0.6947,0.1193
50238-3,Hs 578T,10120-102-1,Canertinib,0.37,uM,LJP6,0.9589,0.0072,0.9460,0.0098
50238-3,Hs 578T,10117-101-1,Celastrol,0.37,uM,LJP6,0.8340,0.0106,0.7835,0.0047
50238-3,Hs 578T,10025-101-1,CGP60474,0.37,uM,LJP5,0.1683,0.0456,-0.0865,0.0355
50238-3,Hs 578T,10025-101-1,CGP60474,0.37,uM,LJP6,0.1776,0.0428,-0.0748,0.0353
50238-3,Hs 578T,10180-101-1,CHIR-99021,0.37,uM,LJP6,0.9521,0.0046,0.9371,0.0069
50238-3,Hs 578T,10010-101-1,CP724714,0.37,uM,LJP5,0.9715,0.0147,0.9628,0.0195
50238-3,Hs 578T,10009-101-1,CP466722,0.37,uM,LJP5,1.0615,0.0120,1.0817,0.0180
50238-3,Hs 578T,10027-101-1,Crizotinib,0.37,uM,LJP5,0.9080,0.0138,0.8809,0.0124
50238-3,Hs 578T,10140-101-1,Momelotinib,0.37,uM,LJP5,0.7719,0.0217,0.7028,0.0189
50238-3,Hs 578T,10020-101-1,Dasatinib,0.37,uM,LJP5,0.2676,0.0767,0.0454,0.0824
50238-3,Hs 578T,10020-101-1,Dasatinib,0.37,uM,LJP6,0.2335,0.0652,0.0004,0.0621
50238-3,Hs 578T,10127-101-1,Dovitinib,0.37,uM,LJP5,0.4063,0.0670,0.2290,0.0533
50238-3,Hs 578T,10069-101-1,Enzastaurin,0.37,uM,LJP5,1.0138,0.0218,1.0166,0.0271
50238-3,Hs 578T,10097-101-1,Erlotinib,0.37,uM,LJP5,0.9662,0.0076,0.9548,0.0119
50238-3,Hs 578T,10157-101-1,Foretinib,0.37,uM,LJP5,0.4618,0.0903,0.3037,0.0932
50238-3,Hs 578T,10040-101-1,R406,0.37,uM,LJP6,0.8346,0.0139,0.7841,0.0151
50238-3,Hs 578T,10047-101-1,Pictilisib,0.37,uM,LJP6,0.5993,0.0139,0.4737,0.0347
50238-3,Hs 578T,10098-101-1,Gefitinib,0.37,uM,LJP6,0.9745,0.0044,0.9664,0.0062
50238-3,Hs 578T,10108-101-1,Geldanamycin,0.37,uM,LJP5,0.3077,0.0416,0.0966,0.0193
50238-3,Hs 578T,10108-101-1,Geldanamycin,0.37,uM,LJP6,0.3138,0.0640,0.1071,0.0470
50238-3,Hs 578T,10172-101-1,GSK1059615,0.37,uM,LJP5,0.6784,0.0164,0.5771,0.0346
50238-3,Hs 578T,10172-101-1,GSK1059615,0.37,uM,LJP6,0.6633,0.0262,0.5556,0.0515
50238-3,Hs 578T,10134-101-1,GSK1904529A,0.37,uM,LJP6,0.9520,0.0179,0.9387,0.0202
50238-3,Hs 578T,10146-101-1,Omipalisib,0.37,uM,LJP6,0.2374,0.0608,0.0057,0.0523
50238-3,Hs 578T,10128-101-1,GSK 690693,0.37,uM,LJP5,0.7472,0.0290,0.6655,0.0494
50238-3,Hs 578T,10014-101-1,GW843682X,0.37,uM,LJP6,0.2549,0.0447,0.0278,0.0178
50238-3,Hs 578T,10015-101-1,HG-5-113-01,0.37,uM,LJP5,0.7759,0.0413,0.7106,0.0401
50238-3,Hs 578T,10016-101-1,HG-5-88-01,0.37,uM,LJP6,0.8718,0.0249,0.8346,0.0245
50238-3,Hs 578T,10023-103-1,Imatinib,0.37,uM,LJP6,0.9940,0.0258,0.9951,0.0328
50238-3,Hs 578T,10100-101-1,JNK-9L,0.37,uM,LJP6,0.8614,0.0428,0.8229,0.0467
50238-3,Hs 578T,10019-101-1,JW-7-24-1,0.37,uM,LJP6,0.7590,0.0416,0.6885,0.0395
50238-3,Hs 578T,10051-104-1,Lapatinib,0.37,uM,LJP6,0.9659,0.0055,0.9550,0.0086
50238-3,Hs 578T,10115-102-1,LDN-193189,0.37,uM,LJP5,0.9009,0.0215,0.8720,0.0227
50238-3,Hs 578T,10182-101-1,Linifanib,0.37,uM,LJP6,0.9613,0.0096,0.9489,0.0140
50238-3,Hs 578T,10135-101-1,Linsitinib,0.37,uM,LJP5,0.9373,0.0110,0.9181,0.0143
50238-3,Hs 578T,10479-102-1,Mitoxantrone,0.37,uM,LJP5,0.2061,0.0468,-0.0360,0.0193
50238-3,Hs 578T,10479-102-1,Mitoxantrone,0.37,uM,LJP6,0.2093,0.0398,-0.0326,0.0088
50238-3,Hs 578T,10057-102-1,MK2206,0.37,uM,LJP6,0.6189,0.0716,0.4924,0.1114
50238-3,Hs 578T,10018-101-1,Neratinib,0.37,uM,LJP5,0.6667,0.0683,0.5704,0.0682
50238-3,Hs 578T,10099-101-1,Nilotinib,0.37,uM,LJP5,1.1011,0.0372,1.1367,0.0529
50238-3,Hs 578T,10151-101-1,Nintedanib,0.37,uM,LJP6,0.7308,0.0015,0.6468,0.0174
50238-3,Hs 578T,10061-101-1,NU7441,0.37,uM,LJP5,0.9199,0.0113,0.8941,0.0177
50238-3,Hs 578T,10232-101-1,Dactolisib,0.37,uM,LJP5,0.2930,0.0589,0.0791,0.0428
50238-3,Hs 578T,10024-101-1,NVP-TAE684,0.37,uM,LJP6,0.6261,0.0644,0.5164,0.0616
50238-3,Hs 578T,10071-101-1,Palbociclib,0.37,uM,LJP6,0.5310,0.0361,0.3883,0.0276
50238-3,Hs 578T,10101-101-1,PD0325901,0.37,uM,LJP5,0.4287,0.0429,0.2556,0.0236
50238-3,Hs 578T,10101-101-1,PD0325901,0.37,uM,LJP6,0.4167,0.0439,0.2399,0.0249
50238-3,Hs 578T,10026-101-1,PD173074,0.37,uM,LJP6,0.8273,0.0380,0.7748,0.0493
50238-3,Hs 578T,10048-101-1,PD184352,0.37,uM,LJP5,0.6428,0.0371,0.5282,0.0637
50238-3,Hs 578T,10159-101-1,Pelitinib,0.37,uM,LJP5,0.8431,0.0337,0.7981,0.0357
50238-3,Hs 578T,10116-101-1,PF431396,0.37,uM,LJP5,0.5750,0.0585,0.4493,0.0522
50238-3,Hs 578T,10112-101-1,PF477736,0.37,uM,LJP5,0.2931,0.0688,0.0801,0.0576
50238-3,Hs 578T,10072-101-1,PF562271,0.37,uM,LJP6,0.7362,0.0148,0.6553,0.0128
50238-3,Hs 578T,10125-101-1,PHA-665752,0.37,uM,LJP5,1.0130,0.0100,1.0163,0.0122
50238-3,Hs 578T,10073-101-1,PHA-793887,0.37,uM,LJP6,0.3606,0.0756,0.1699,0.0633
50238-3,Hs 578T,10126-101-1,PI103,0.37,uM,LJP6,0.3736,0.0329,0.1789,0.0519
50238-3,Hs 578T,10049-101-1,PLX-4720,0.37,uM,LJP5,1.1380,0.0391,1.1841,0.0548
50238-3,Hs 578T,10075-101-1,QL-X-138,0.37,uM,LJP6,0.6534,0.0194,0.5476,0.0056
50238-3,Hs 578T,10077-101-1,QL-XII-47,0.37,uM,LJP6,0.7119,0.1008,0.6327,0.1118
50238-3,Hs 578T,10480-101-1,Radicicol,0.37,uM,LJP5,0.7433,0.1608,0.6817,0.1919
50238-3,Hs 578T,10480-101-1,Radicicol,0.37,uM,LJP6,0.6858,0.1778,0.6079,0.2090
50238-3,Hs 578T,10001-101-1,Seliciclib,0.37,uM,LJP5,0.9849,0.0063,0.9798,0.0090
50238-3,Hs 578T,10138-105-1,Ruxolitinib,0.37,uM,LJP5,0.9797,0.0128,0.9743,0.0156
50238-3,Hs 578T,10148-101-1,XL147,0.37,uM,LJP5,1.0010,0.0103,1.0002,0.0129
50238-3,Hs 578T,10032-101-1,Saracatinib,0.37,uM,LJP6,0.8220,0.0137,0.7666,0.0206
50238-3,Hs 578T,10056-101-1,Selumetinib,0.37,uM,LJP6,0.5226,0.0094,0.3747,0.0194
50238-3,Hs 578T,10052-101-1,Sirolimus,0.37,uM,LJP6,0.6383,0.0194,0.5269,0.0222
50238-3,Hs 578T,10008-101-1,Sorafenib,0.37,uM,LJP6,1.1546,0.0561,1.2089,0.0793
50238-3,Hs 578T,10119-101-1,SU11274,0.37,uM,LJP5,0.9572,0.0025,0.9437,0.0050
50238-3,Hs 578T,10141-101-1,Fedratinib,0.37,uM,LJP5,0.8895,0.0255,0.8578,0.0263
50238-3,Hs 578T,10171-101-1,TGX221,0.37,uM,LJP5,0.9187,0.0098,0.8926,0.0156
50238-3,Hs 578T,10079-101-1,Torin1,0.37,uM,LJP6,0.3209,0.0431,0.1133,0.0366
50238-3,Hs 578T,10080-101-1,Torin2,0.37,uM,LJP5,0.2234,0.0649,-0.0118,0.0508
50238-3,Hs 578T,10021-101-1,Tozasertib,0.37,uM,LJP5,0.2934,0.0690,0.0803,0.0603
50238-3,Hs 578T,10142-101-1,Trametinib,0.37,uM,LJP5,0.3413,0.0661,0.1435,0.0506
50238-3,Hs 578T,10111-101-1,TWS119,0.37,uM,LJP5,0.9886,0.0099,0.9842,0.0129
50238-3,Hs 578T,10068-101-1,Vemurafenib,0.37,uM,LJP5,1.0427,0.0157,1.0577,0.0225
50238-3,Hs 578T,10481-101-1,Withaferin A,0.37,uM,LJP5,0.9578,0.0421,0.9494,0.0525
50238-3,Hs 578T,10481-101-1,Withaferin A,0.37,uM,LJP6,0.9115,0.0687,0.8918,0.0837
50238-3,Hs 578T,10064-101-1,WYE-125132,0.37,uM,LJP6,0.3415,0.0370,0.1392,0.0362
50238-3,Hs 578T,10084-101-1,WZ3105,0.37,uM,LJP5,0.1793,0.0449,-0.0721,0.0323
50238-3,Hs 578T,10086-101-1,XMD11-50,0.37,uM,LJP6,0.8049,0.0384,0.7481,0.0383
50238-3,Hs 578T,10149-102-1,Y39983,0.37,uM,LJP6,0.7974,0.0053,0.7349,0.0056
50238-3,Hs 578T,10109-101-1,YM 201636,0.37,uM,LJP5,0.9799,0.0176,0.9742,0.0236
50238-3,Hs 578T,10053-101-1,ZSTK474,0.37,uM,LJP6,0.5630,0.0105,0.4263,0.0326
50238-3,Hs 578T,10133-101-1,Afatinib,1.11,uM,LJP6,0.8869,0.0190,0.8534,0.0212
50238-3,Hs 578T,10035-101-1,Sigma A6730,1.11,uM,LJP5,0.8628,0.0193,0.8215,0.0222
50238-3,Hs 578T,10011-101-1,Alvocidib,1.11,uM,LJP6,0.1529,0.0419,-0.1071,0.0345
50238-3,Hs 578T,10004-101-1,AT-7519,1.11,uM,LJP6,0.1755,0.0474,-0.0766,0.0317
50238-3,Hs 578T,10158-101-1,AZD 5438,1.11,uM,LJP6,0.2307,0.0481,-0.0035,0.0197
50238-3,Hs 578T,10059-101-1,AZD-6482,1.11,uM,LJP5,0.7799,0.0126,0.7113,0.0211
50238-3,Hs 578T,10006-101-1,AZD7762,1.11,uM,LJP6,0.1925,0.0632,-0.0524,0.0459
50238-3,Hs 578T,10007-101-1,AZD8055,1.11,uM,LJP6,0.3189,0.0443,0.1118,0.0181
50238-3,Hs 578T,10164-101-1,AZD8330,1.11,uM,LJP5,0.3529,0.0685,0.1584,0.0607
50238-3,Hs 578T,10067-101-1,Barasertib,1.11,uM,LJP5,0.4039,0.0848,0.2261,0.0900
50238-3,Hs 578T,10041-101-1,BI-2536,1.11,uM,LJP6,0.2053,0.0495,-0.0375,0.0390
50238-3,Hs 578T,10028-102-1,BMS345541,1.11,uM,LJP6,0.9038,0.0418,0.8786,0.0481
50238-3,Hs 578T,10132-101-1,SNS-032,1.11,uM,LJP6,0.1674,0.0359,-0.0892,0.0384
50238-3,Hs 578T,10234-101-1,GDC-0980,1.11,uM,LJP5,0.3376,0.0400,0.1342,0.0423
50238-3,Hs 578T,10122-101-1,NVP-AEW541,1.11,uM,LJP5,1.0027,0.0141,1.0050,0.0180
50238-3,Hs 578T,10046-101-1,SB590885,1.11,uM,LJP5,1.1546,0.0559,1.2085,0.0785
50238-3,Hs 578T,10190-101-1,PIK-93,1.11,uM,LJP5,0.9267,0.0598,0.9106,0.0726
50238-3,Hs 578T,10031-101-1,KIN001-043,1.11,uM,LJP6,0.9965,0.0150,0.9964,0.0204
50238-3,Hs 578T,10233-101-1,Alpelisib,1.11,uM,LJP5,0.8434,0.0200,0.7965,0.0209
50238-3,Hs 578T,10161-101-1,Luminespib,1.11,uM,LJP5,0.2793,0.0713,0.0618,0.0643
50238-3,Hs 578T,10045-101-1,A443654,1.11,uM,LJP6,0.1433,0.0420,-0.1191,0.0192
50238-3,Hs 578T,10063-102-1,OSI-027,1.11,uM,LJP6,0.5109,0.0100,0.3594,0.0202
50238-3,Hs 578T,10087-101-1,XMD11-85h,1.11,uM,LJP6,0.9049,0.0098,0.8763,0.0078
50238-3,Hs 578T,10017-101-1,HG-6-64-01,1.11,uM,LJP6,0.4407,0.0992,0.2778,0.0951
50238-3,Hs 578T,10039-101-1,WH-4-025,1.11,uM,LJP5,0.2191,0.0784,-0.0169,0.0751
50238-3,Hs 578T,10082-101-1,WZ-4-145,1.11,uM,LJP6,0.5404,0.0382,0.4009,0.0338
50238-3,Hs 578T,10091-101-1,XMD16-144,1.11,uM,LJP5,0.2849,0.0658,0.0693,0.0500
50238-3,Hs 578T,10177-101-1,Brivanib,1.11,uM,LJP5,0.9436,0.0032,0.9262,0.0046
50238-3,Hs 578T,10147-101-1,Buparlisib,1.11,uM,LJP5,0.3139,0.0613,0.1043,0.0685
50238-3,Hs 578T,10055-101-1,BX-912,1.11,uM,LJP5,0.4561,0.0524,0.2926,0.0362
50238-3,Hs 578T,10120-102-1,Canertinib,1.11,uM,LJP6,0.9323,0.0047,0.9117,0.0027
50238-3,Hs 578T,10117-101-1,Celastrol,1.11,uM,LJP6,0.3602,0.1215,0.1705,0.1305
50238-3,Hs 578T,10025-101-1,CGP60474,1.11,uM,LJP5,0.1664,0.0466,-0.0889,0.0349
50238-3,Hs 578T,10025-101-1,CGP60474,1.11,uM,LJP6,0.1643,0.0388,-0.0923,0.0290
50238-3,Hs 578T,10180-101-1,CHIR-99021,1.11,uM,LJP6,0.9044,0.0262,0.8729,0.0365
50238-3,Hs 578T,10010-101-1,CP724714,1.11,uM,LJP5,0.9601,0.0270,0.9500,0.0322
50238-3,Hs 578T,10009-101-1,CP466722,1.11,uM,LJP5,1.0290,0.0283,1.0409,0.0371
50238-3,Hs 578T,10027-101-1,Crizotinib,1.11,uM,LJP5,0.7825,0.0859,0.7238,0.0967
50238-3,Hs 578T,10140-101-1,Momelotinib,1.11,uM,LJP5,0.6591,0.0472,0.5580,0.0412
50238-3,Hs 578T,10020-101-1,Dasatinib,1.11,uM,LJP5,0.2352,0.0813,0.0046,0.0785
50238-3,Hs 578T,10020-101-1,Dasatinib,1.11,uM,LJP6,0.2284,0.0720,-0.0051,0.0661
50238-3,Hs 578T,10127-101-1,Dovitinib,1.11,uM,LJP5,0.3878,0.0709,0.2050,0.0587
50238-3,Hs 578T,10069-101-1,Enzastaurin,1.11,uM,LJP5,1.0304,0.0255,1.0376,0.0306
50238-3,Hs 578T,10097-101-1,Erlotinib,1.11,uM,LJP5,0.9548,0.0127,0.9396,0.0181
50238-3,Hs 578T,10157-101-1,Foretinib,1.11,uM,LJP5,0.3800,0.0706,0.1931,0.0724
50238-3,Hs 578T,10040-101-1,R406,1.11,uM,LJP6,0.7627,0.0258,0.6916,0.0212
50238-3,Hs 578T,10047-101-1,Pictilisib,1.11,uM,LJP6,0.5213,0.0186,0.3715,0.0411
50238-3,Hs 578T,10098-101-1,Gefitinib,1.11,uM,LJP6,0.9756,0.0042,0.9680,0.0059
50238-3,Hs 578T,10108-101-1,Geldanamycin,1.11,uM,LJP5,0.3037,0.0542,0.0929,0.0311
50238-3,Hs 578T,10108-101-1,Geldanamycin,1.11,uM,LJP6,0.2949,0.0643,0.0824,0.0461
50238-3,Hs 578T,10172-101-1,GSK1059615,1.11,uM,LJP5,0.4379,0.0261,0.2656,0.0093
50238-3,Hs 578T,10172-101-1,GSK1059615,1.11,uM,LJP6,0.4690,0.0208,0.3059,0.0052
50238-3,Hs 578T,10134-101-1,GSK1904529A,1.11,uM,LJP6,0.9211,0.0056,0.8964,0.0091
50238-3,Hs 578T,10146-101-1,Omipalisib,1.11,uM,LJP6,0.1987,0.0565,-0.0454,0.0457
50238-3,Hs 578T,10128-101-1,GSK 690693,1.11,uM,LJP5,0.7381,0.0423,0.6525,0.0661
50238-3,Hs 578T,10014-101-1,GW843682X,1.11,uM,LJP6,0.1743,0.0363,-0.0795,0.0288
50238-3,Hs 578T,10015-101-1,HG-5-113-01,1.11,uM,LJP5,0.5069,0.1057,0.3651,0.1069
50238-3,Hs 578T,10016-101-1,HG-5-88-01,1.11,uM,LJP6,0.8527,0.0197,0.8090,0.0171
50238-3,Hs 578T,10023-103-1,Imatinib,1.11,uM,LJP6,1.0149,0.0302,1.0227,0.0387
50238-3,Hs 578T,10100-101-1,JNK-9L,1.11,uM,LJP6,0.5629,0.1138,0.4396,0.1205
50238-3,Hs 578T,10019-101-1,JW-7-24-1,1.11,uM,LJP6,0.6036,0.0456,0.4853,0.0364
50238-3,Hs 578T,10051-104-1,Lapatinib,1.11,uM,LJP6,0.9744,0.0038,0.9663,0.0059
50238-3,Hs 578T,10115-102-1,LDN-193189,1.11,uM,LJP5,0.8618,0.0520,0.8246,0.0586
50238-3,Hs 578T,10182-101-1,Linifanib,1.11,uM,LJP6,0.9587,0.0069,0.9462,0.0086
50238-3,Hs 578T,10135-101-1,Linsitinib,1.11,uM,LJP5,0.9777,0.0289,0.9723,0.0364
50238-3,Hs 578T,10479-102-1,Mitoxantrone,1.11,uM,LJP5,0.1517,0.0487,-0.1071,0.0204
50238-3,Hs 578T,10479-102-1,Mitoxantrone,1.11,uM,LJP6,0.1512,0.0482,-0.1080,0.0216
50238-3,Hs 578T,10057-102-1,MK2206,1.11,uM,LJP6,0.6781,0.0027,0.5774,0.0220
50238-3,Hs 578T,10018-101-1,Neratinib,1.11,uM,LJP5,0.5432,0.1229,0.4118,0.1350
50238-3,Hs 578T,10099-101-1,Nilotinib,1.11,uM,LJP5,1.0788,0.0259,1.1063,0.0378
50238-3,Hs 578T,10151-101-1,Nintedanib,1.11,uM,LJP6,0.6149,0.0449,0.4935,0.0708
50238-3,Hs 578T,10061-101-1,NU7441,1.11,uM,LJP5,0.8009,0.0079,0.7382,0.0195
50238-3,Hs 578T,10232-101-1,Dactolisib,1.11,uM,LJP5,0.3055,0.0582,0.0948,0.0504
50238-3,Hs 578T,10024-101-1,NVP-TAE684,1.11,uM,LJP6,0.4382,0.0764,0.2718,0.0658
50238-3,Hs 578T,10071-101-1,Palbociclib,1.11,uM,LJP6,0.4781,0.0256,0.3183,0.0080
50238-3,Hs 578T,10101-101-1,PD0325901,1.11,uM,LJP5,0.3813,0.0610,0.1952,0.0474
50238-3,Hs 578T,10101-101-1,PD0325901,1.11,uM,LJP6,0.3615,0.0531,0.1684,0.0354
50238-3,Hs 578T,10026-101-1,PD173074,1.11,uM,LJP6,0.8364,0.0345,0.7874,0.0431
50238-3,Hs 578T,10048-101-1,PD184352,1.11,uM,LJP5,0.5789,0.0342,0.4450,0.0619
50238-3,Hs 578T,10159-101-1,Pelitinib,1.11,uM,LJP5,0.7984,0.0223,0.7371,0.0250
50238-3,Hs 578T,10116-101-1,PF431396,1.11,uM,LJP5,0.3867,0.0558,0.2017,0.0426
50238-3,Hs 578T,10112-101-1,PF477736,1.11,uM,LJP5,0.2304,0.0724,-0.0024,0.0661
50238-3,Hs 578T,10072-101-1,PF562271,1.11,uM,LJP6,0.6381,0.0132,0.5267,0.0090
50238-3,Hs 578T,10125-101-1,PHA-665752,1.11,uM,LJP5,0.9654,0.0186,0.9566,0.0216
50238-3,Hs 578T,10073-101-1,PHA-793887,1.11,uM,LJP6,0.2630,0.0684,0.0411,0.0496
50238-3,Hs 578T,10126-101-1,PI103,1.11,uM,LJP6,0.3296,0.0454,0.1221,0.0616
50238-3,Hs 578T,10049-101-1,PLX-4720,1.11,uM,LJP5,1.1271,0.0570,1.1724,0.0779
50238-3,Hs 578T,10075-101-1,QL-X-138,1.11,uM,LJP6,0.5420,0.0412,0.4041,0.0274
50238-3,Hs 578T,10077-101-1,QL-XII-47,1.11,uM,LJP6,0.5054,0.1265,0.3639,0.1346
50238-3,Hs 578T,10480-101-1,Radicicol,1.11,uM,LJP5,0.4502,0.1167,0.2923,0.1193
50238-3,Hs 578T,10480-101-1,Radicicol,1.11,uM,LJP6,0.4026,0.1041,0.2283,0.0992
50238-3,Hs 578T,10001-101-1,Seliciclib,1.11,uM,LJP5,0.9587,0.0218,0.9478,0.0256
50238-3,Hs 578T,10138-105-1,Ruxolitinib,1.11,uM,LJP5,0.9619,0.0025,0.9498,0.0054
50238-3,Hs 578T,10148-101-1,XL147,1.11,uM,LJP5,0.9897,0.0082,0.9863,0.0108
50238-3,Hs 578T,10032-101-1,Saracatinib,1.11,uM,LJP6,0.7076,0.0182,0.6144,0.0400
50238-3,Hs 578T,10056-101-1,Selumetinib,1.11,uM,LJP6,0.4902,0.0195,0.3332,0.0151
50238-3,Hs 578T,10052-101-1,Sirolimus,1.11,uM,LJP6,0.6484,0.0343,0.5409,0.0401
50238-3,Hs 578T,10008-101-1,Sorafenib,1.11,uM,LJP6,1.1702,0.0722,1.2312,0.1010
50238-3,Hs 578T,10119-101-1,SU11274,1.11,uM,LJP5,0.8919,0.0083,0.8573,0.0167
50238-3,Hs 578T,10141-101-1,Fedratinib,1.11,uM,LJP5,0.6719,0.0585,0.5764,0.0565
50238-3,Hs 578T,10171-101-1,TGX221,1.11,uM,LJP5,0.8987,0.0154,0.8669,0.0216
50238-3,Hs 578T,10079-101-1,Torin1,1.11,uM,LJP6,0.2863,0.0491,0.0688,0.0368
50238-3,Hs 578T,10080-101-1,Torin2,1.11,uM,LJP5,0.2177,0.0604,-0.0201,0.0486
50238-3,Hs 578T,10021-101-1,Tozasertib,1.11,uM,LJP5,0.2748,0.0633,0.0555,0.0497
50238-3,Hs 578T,10142-101-1,Trametinib,1.11,uM,LJP5,0.3360,0.0622,0.1359,0.0485
50238-3,Hs 578T,10111-101-1,TWS119,1.11,uM,LJP5,0.8871,0.0051,0.8524,0.0043
50238-3,Hs 578T,10068-101-1,Vemurafenib,1.11,uM,LJP5,1.0197,0.0279,1.0286,0.0360
50238-3,Hs 578T,10481-101-1,Withaferin A,1.11,uM,LJP5,0.2023,0.0291,-0.0435,0.0251
50238-3,Hs 578T,10481-101-1,Withaferin A,1.11,uM,LJP6,0.1862,0.0214,-0.0657,0.0328
50238-3,Hs 578T,10064-101-1,WYE-125132,1.11,uM,LJP6,0.3260,0.0360,0.1188,0.0368
50238-3,Hs 578T,10084-101-1,WZ3105,1.11,uM,LJP5,0.1762,0.0444,-0.0765,0.0368
50238-3,Hs 578T,10086-101-1,XMD11-50,1.11,uM,LJP6,0.6688,0.0316,0.5692,0.0221
50238-3,Hs 578T,10149-102-1,Y39983,1.11,uM,LJP6,0.7568,0.0086,0.6814,0.0131
50238-3,Hs 578T,10109-101-1,YM 201636,1.11,uM,LJP5,0.8691,0.0207,0.8307,0.0200
50238-3,Hs 578T,10053-101-1,ZSTK474,1.11,uM,LJP6,0.4702,0.0248,0.3044,0.0490
50238-3,Hs 578T,10133-101-1,Afatinib,3.33,uM,LJP6,0.8465,0.0207,0.7974,0.0318
50238-3,Hs 578T,10035-101-1,Sigma A6730,3.33,uM,LJP5,0.8779,0.0226,0.8424,0.0219
50238-3,Hs 578T,10011-101-1,Alvocidib,3.33,uM,LJP6,0.1533,0.0398,-0.1067,0.0305
50238-3,Hs 578T,10004-101-1,AT-7519,3.33,uM,LJP6,0.1377,0.0453,-0.1267,0.0355
50238-3,Hs 578T,10158-101-1,AZD 5438,3.33,uM,LJP6,0.1917,0.0521,-0.0546,0.0317
50238-3,Hs 578T,10059-101-1,AZD-6482,3.33,uM,LJP5,0.7037,0.0329,0.6091,0.0535
50238-3,Hs 578T,10006-101-1,AZD7762,3.33,uM,LJP6,0.1614,0.0562,-0.0936,0.0303
50238-3,Hs 578T,10007-101-1,AZD8055,3.33,uM,LJP6,0.2925,0.0512,0.0775,0.0353
50238-3,Hs 578T,10164-101-1,AZD8330,3.33,uM,LJP5,0.3548,0.0626,0.1602,0.0547
50238-3,Hs 578T,10067-101-1,Barasertib,3.33,uM,LJP5,0.3749,0.0735,0.1870,0.0744
50238-3,Hs 578T,10041-101-1,BI-2536,3.33,uM,LJP6,0.2094,0.0468,-0.0324,0.0359
50238-3,Hs 578T,10028-102-1,BMS345541,3.33,uM,LJP6,0.7203,0.0844,0.6421,0.0916
50238-3,Hs 578T,10132-101-1,SNS-032,3.33,uM,LJP6,0.1743,0.0361,-0.0797,0.0314
50238-3,Hs 578T,10234-101-1,GDC-0980,3.33,uM,LJP5,0.3191,0.0448,0.1103,0.0470
50238-3,Hs 578T,10122-101-1,NVP-AEW541,3.33,uM,LJP5,1.0144,0.0083,1.0185,0.0104
50238-3,Hs 578T,10046-101-1,SB590885,3.33,uM,LJP5,1.1567,0.0721,1.2128,0.0987
50238-3,Hs 578T,10190-101-1,PIK-93,3.33,uM,LJP5,0.6244,0.0700,0.5079,0.0938
50238-3,Hs 578T,10031-101-1,KIN001-043,3.33,uM,LJP6,0.8783,0.0554,0.8414,0.0736
50238-3,Hs 578T,10233-101-1,Alpelisib,3.33,uM,LJP5,0.7724,0.0122,0.7028,0.0042
50238-3,Hs 578T,10161-101-1,Luminespib,3.33,uM,LJP5,0.2721,0.0733,0.0523,0.0687
50238-3,Hs 578T,10045-101-1,A443654,3.33,uM,LJP6,0.1256,0.0368,-0.1430,0.0228
50238-3,Hs 578T,10063-102-1,OSI-027,3.33,uM,LJP6,0.4212,0.0267,0.2418,0.0399
50238-3,Hs 578T,10087-101-1,XMD11-85h,3.33,uM,LJP6,0.8340,0.0224,0.7849,0.0194
50238-3,Hs 578T,10017-101-1,HG-6-64-01,3.33,uM,LJP6,0.2591,0.0937,0.0375,0.0936
50238-3,Hs 578T,10039-101-1,WH-4-025,3.33,uM,LJP5,0.1953,0.0716,-0.0487,0.0656
50238-3,Hs 578T,10082-101-1,WZ-4-145,3.33,uM,LJP6,0.4960,0.0463,0.3440,0.0346
50238-3,Hs 578T,10091-101-1,XMD16-144,3.33,uM,LJP5,0.2288,0.0452,-0.0065,0.0215
