HMS Dataset ID,Dataset Title,Publication(s) Using Dataset,Project Summary Page(s),Assay Description,Assay Protocol Reference,HMS Dataset Type,Usage Message,Date Publicly Available,Most Recent Update
20150,AMG-706 KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20151,BIRB-796 KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,The small molecule associated with this KINOMEscan dataset was erroneously assigned as HMS LINCS ID 10044-101 at the time of data release. The assignment was corrected to HMS LINCS 10169-999 on 2016-06-03.,2013-10-16,2016-06-03
20152,GDC-0941 KINOMEscan-2,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20153,CI-1040 KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20154,PLX-4720 KINOMEscan-2,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20155,Lapatinib KINOMEscan-2,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20156,AZD-6244 KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20157,MLN-8054 KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20158,AZD-1152HQPA KINOMEscan-2,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20159,LY-317615 KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20160,Erlotinib KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20161,Gefitinib KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20162,Nilotinib KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20163,Pazopanib KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20164,CI-1033 KINOMEscan-2,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20165,SGX-523 KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20166,PHA-665752 KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20167,PI-103 KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
20168,TKI-258 KINOMEscan,"PMID: <a href=""http://www.ncbi.nlm.nih.gov/pubmed/22037378"" target = ""_blank"">22037378</a>","<a href = ""http://lincs.hms.harvard.edu/kinomescan/"" target = ""_blank"">lincs.hms.harvard.edu/kinomescan</a>","The KINOMEscan assay platform is based on a competition binding assay that is run for a compound of interest against each of a panel of 442 kinases. The assay has three components: a kinase-tagged phage, a test compound, and an immobilized ligand that the compound competes with to displace the kinase. The amount of kinase bound to the immobilized ligand is determined using quantitative PCR of the DNA tag. Kd values (nM) reported for each compound were determined using 11 serial threefold dilutions of test compound and a DMSO control. A null result means no inhibition of kinase binding to the ligand in the presence of the compound and low Kd means strong inhibition.","KINOMEscan website: <a href = ""http://www.discoverx.com/technologies-platforms/competitive-binding-technology/kinomescan-technology-platform"" target=""blank"">Overview & Assay Principle</a><br />

<br />

Fabian MA, Biggs WH 3rd, Treiber DK, Atteridge CE, Azimioara MD, Benedetti MG, Carter TA, Ciceri P, Edeen PT, Floyd M, Ford JM, Galvin M, Gerlach JL, Grotzfeld RM, Herrgard S, Insko DE, Insko MA, Lai AG, Lelias JM, Mehta SA, Milanov ZV, Velasco AM, Wodicka LM, Patel HK, Zarrinkar PP, Lockhart DJ. A small molecule-kinase interaction map for clinical kinase inhibitors. Nat Biotechnol. 2005 Mar;23(3):329-36. PMID: 15711537",KINOMEscan,,2013-10-16,2016-06-03
