Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Mean Relative Cell Count,Standard Error of the Mean for Relative Cell Count,Mean Normalized Growth Rate Inhibition Value,Standard Error of the Mean for Normalized Growth Rate Inhibition Value
50057-3,SK-BR-3,10061-101-1,NU7441,3.33,uM,LJP5,0.7655,0.0293,0.6441,0.0475
50057-3,SK-BR-3,10061-101-1,NU7441,10,uM,LJP5,0.4957,0.0506,0.1986,0.0443
50057-3,SK-BR-3,10063-102-1,OSI-027,0.04,uM,LJP6,0.8399,0.0580,0.7599,0.0660
50057-3,SK-BR-3,10063-102-1,OSI-027,0.12,uM,LJP6,0.5800,0.0505,0.3216,0.0390
50057-3,SK-BR-3,10063-102-1,OSI-027,0.37,uM,LJP6,0.4743,0.0255,0.1270,0.0723
50057-3,SK-BR-3,10063-102-1,OSI-027,1.11,uM,LJP6,0.4452,0.0315,0.0732,0.0869
50057-3,SK-BR-3,10063-102-1,OSI-027,3.33,uM,LJP6,0.4380,0.0285,0.0598,0.0815
50057-3,SK-BR-3,10063-102-1,OSI-027,10,uM,LJP6,0.4149,0.0202,0.0172,0.0856
50057-3,SK-BR-3,10064-101-1,WYE-125132,0.04,uM,LJP6,0.4432,0.0238,0.0703,0.0537
50057-3,SK-BR-3,10064-101-1,WYE-125132,0.12,uM,LJP6,0.4064,0.0109,0.0009,0.0761
50057-3,SK-BR-3,10064-101-1,WYE-125132,0.37,uM,LJP6,0.4040,0.0143,-0.0064,0.0971
50057-3,SK-BR-3,10064-101-1,WYE-125132,1.11,uM,LJP6,0.4024,0.0196,-0.0078,0.0864
50057-3,SK-BR-3,10064-101-1,WYE-125132,3.33,uM,LJP6,0.3733,0.0085,-0.0626,0.0866
50057-3,SK-BR-3,10064-101-1,WYE-125132,10,uM,LJP6,0.3728,0.0198,-0.0635,0.0831
50057-3,SK-BR-3,10067-101-1,Barasertib,0.04,uM,LJP5,0.3651,0.0116,-0.0450,0.0450
50057-3,SK-BR-3,10067-101-1,Barasertib,0.12,uM,LJP5,0.3575,0.0143,-0.0601,0.0474
50057-3,SK-BR-3,10067-101-1,Barasertib,0.37,uM,LJP5,0.3474,0.0214,-0.0794,0.0409
50057-3,SK-BR-3,10067-101-1,Barasertib,1.11,uM,LJP5,0.3581,0.0142,-0.0587,0.0485
50057-3,SK-BR-3,10067-101-1,Barasertib,3.33,uM,LJP5,0.3492,0.0128,-0.0758,0.0501
50057-3,SK-BR-3,10067-101-1,Barasertib,10,uM,LJP5,0.3527,0.0079,-0.0692,0.0505
50057-3,SK-BR-3,10068-101-1,Vemurafenib,0.04,uM,LJP5,1.0392,0.0283,1.0507,0.0400
50057-3,SK-BR-3,10068-101-1,Vemurafenib,0.12,uM,LJP5,1.0244,0.0169,1.0340,0.0252
50057-3,SK-BR-3,10068-101-1,Vemurafenib,0.37,uM,LJP5,1.0155,0.0156,1.0261,0.0232
50057-3,SK-BR-3,10068-101-1,Vemurafenib,1.11,uM,LJP5,1.0006,0.0163,1.0055,0.0244
50057-3,SK-BR-3,10068-101-1,Vemurafenib,3.33,uM,LJP5,0.9634,0.0221,0.9513,0.0267
50057-3,SK-BR-3,10068-101-1,Vemurafenib,10,uM,LJP5,0.8679,0.0174,0.8054,0.0184
50057-3,SK-BR-3,10069-101-1,Enzastaurin,0.04,uM,LJP5,1.0660,0.0390,1.1004,0.0562
50057-3,SK-BR-3,10069-101-1,Enzastaurin,0.12,uM,LJP5,1.0483,0.0344,1.0733,0.0490
50057-3,SK-BR-3,10069-101-1,Enzastaurin,0.37,uM,LJP5,1.0694,0.0166,1.0983,0.0189
50057-3,SK-BR-3,10069-101-1,Enzastaurin,1.11,uM,LJP5,1.0417,0.0134,1.0601,0.0189
50057-3,SK-BR-3,10069-101-1,Enzastaurin,3.33,uM,LJP5,1.0537,0.0242,1.0732,0.0323
50057-3,SK-BR-3,10069-101-1,Enzastaurin,10,uM,LJP5,0.9722,0.0646,0.9581,0.1057
50057-3,SK-BR-3,10071-101-1,Palbociclib,0.04,uM,LJP6,0.8772,0.0565,0.8186,0.0718
50057-3,SK-BR-3,10071-101-1,Palbociclib,0.12,uM,LJP6,0.7958,0.0284,0.6835,0.0213
50057-3,SK-BR-3,10071-101-1,Palbociclib,0.37,uM,LJP6,0.7514,0.0343,0.6125,0.0287
50057-3,SK-BR-3,10071-101-1,Palbociclib,1.11,uM,LJP6,0.7443,0.0097,0.5946,0.0219
50057-3,SK-BR-3,10071-101-1,Palbociclib,3.33,uM,LJP6,0.7257,0.0279,0.5677,0.0280
50057-3,SK-BR-3,10071-101-1,Palbociclib,10,uM,LJP6,0.6968,0.0139,0.5168,0.0264
50057-3,SK-BR-3,10072-101-1,PF562271,0.04,uM,LJP6,1.0302,0.0173,1.0530,0.0295
50057-3,SK-BR-3,10072-101-1,PF562271,0.12,uM,LJP6,0.9816,0.0392,0.9838,0.0546
50057-3,SK-BR-3,10072-101-1,PF562271,0.37,uM,LJP6,0.8043,0.0534,0.7043,0.0569
50057-3,SK-BR-3,10072-101-1,PF562271,1.11,uM,LJP6,0.5115,0.0258,0.1976,0.0305
50057-3,SK-BR-3,10072-101-1,PF562271,3.33,uM,LJP6,0.3718,0.0139,-0.0632,0.0482
50057-3,SK-BR-3,10072-101-1,PF562271,10,uM,LJP6,0.2767,0.0419,-0.2538,0.1456
50057-3,SK-BR-3,10073-101-1,PHA-793887,0.04,uM,LJP6,0.4853,0.0243,0.1451,0.0857
50057-3,SK-BR-3,10073-101-1,PHA-793887,0.12,uM,LJP6,0.4560,0.0167,0.0952,0.0490
50057-3,SK-BR-3,10073-101-1,PHA-793887,0.37,uM,LJP6,0.4121,0.0150,0.0136,0.0455
50057-3,SK-BR-3,10073-101-1,PHA-793887,1.11,uM,LJP6,0.3873,0.0296,-0.0334,0.0422
50057-3,SK-BR-3,10073-101-1,PHA-793887,3.33,uM,LJP6,0.3664,0.0260,-0.0738,0.0425
50057-3,SK-BR-3,10073-101-1,PHA-793887,10,uM,LJP6,0.2520,0.0257,-0.3047,0.1192
50057-3,SK-BR-3,10075-101-1,QL-X-138,0.04,uM,LJP6,0.6703,0.0363,0.4632,0.0899
50057-3,SK-BR-3,10075-101-1,QL-X-138,0.12,uM,LJP6,0.6376,0.0271,0.4134,0.0654
50057-3,SK-BR-3,10075-101-1,QL-X-138,0.37,uM,LJP6,0.5346,0.0120,0.2332,0.0758
50057-3,SK-BR-3,10075-101-1,QL-X-138,1.11,uM,LJP6,0.4931,0.0181,0.1627,0.0523
50057-3,SK-BR-3,10075-101-1,QL-X-138,3.33,uM,LJP6,0.4370,0.0066,0.0588,0.0583
50057-3,SK-BR-3,10075-101-1,QL-X-138,10,uM,LJP6,0.2877,0.0304,-0.2311,0.1240
50057-3,SK-BR-3,10077-101-1,QL-XII-47,0.04,uM,LJP6,0.6937,0.0339,0.5165,0.0240
50057-3,SK-BR-3,10077-101-1,QL-XII-47,0.12,uM,LJP6,0.5959,0.0559,0.3505,0.0680
50057-3,SK-BR-3,10077-101-1,QL-XII-47,0.37,uM,LJP6,0.4589,0.0364,0.0964,0.0982
50057-3,SK-BR-3,10077-101-1,QL-XII-47,1.11,uM,LJP6,0.3496,0.0147,-0.1079,0.0823
50057-3,SK-BR-3,10077-101-1,QL-XII-47,3.33,uM,LJP6,0.2734,0.0151,-0.2603,0.1041
50057-3,SK-BR-3,10077-101-1,QL-XII-47,10,uM,LJP6,0.2555,0.0409,-0.2999,0.0922
50057-3,SK-BR-3,10079-101-1,Torin1,0.04,uM,LJP6,0.4185,0.0209,0.0209,0.1107
50057-3,SK-BR-3,10079-101-1,Torin1,0.12,uM,LJP6,0.3991,0.0196,-0.0144,0.1057
50057-3,SK-BR-3,10079-101-1,Torin1,0.37,uM,LJP6,0.3720,0.0112,-0.0642,0.0854
50057-3,SK-BR-3,10079-101-1,Torin1,1.11,uM,LJP6,0.3485,0.0169,-0.1105,0.1048
50057-3,SK-BR-3,10079-101-1,Torin1,3.33,uM,LJP6,0.3225,0.0100,-0.1612,0.0955
50057-3,SK-BR-3,10079-101-1,Torin1,10,uM,LJP6,0.2943,0.0166,-0.2176,0.1083
50057-3,SK-BR-3,10080-101-1,Torin2,0.04,uM,LJP5,0.3195,0.0142,-0.1349,0.0639
50057-3,SK-BR-3,10080-101-1,Torin2,0.12,uM,LJP5,0.3208,0.0106,-0.1319,0.0650
50057-3,SK-BR-3,10080-101-1,Torin2,0.37,uM,LJP5,0.3075,0.0127,-0.1585,0.0647
50057-3,SK-BR-3,10080-101-1,Torin2,1.11,uM,LJP5,0.3028,0.0220,-0.1680,0.0759
50057-3,SK-BR-3,10080-101-1,Torin2,3.33,uM,LJP5,0.2819,0.0158,-0.2100,0.0444
50057-3,SK-BR-3,10080-101-1,Torin2,10,uM,LJP5,0.2460,0.0305,-0.2856,0.1096
50057-3,SK-BR-3,10082-101-1,WZ-4-145,0.04,uM,LJP6,0.6071,0.0109,0.3636,0.0372
50057-3,SK-BR-3,10082-101-1,WZ-4-145,0.12,uM,LJP6,0.6263,0.0143,0.3970,0.0295
50057-3,SK-BR-3,10082-101-1,WZ-4-145,0.37,uM,LJP6,0.5836,0.0270,0.3257,0.0209
50057-3,SK-BR-3,10082-101-1,WZ-4-145,1.11,uM,LJP6,0.5198,0.0106,0.2094,0.0455
50057-3,SK-BR-3,10082-101-1,WZ-4-145,3.33,uM,LJP6,0.4663,0.0239,0.1146,0.0251
50057-3,SK-BR-3,10082-101-1,WZ-4-145,10,uM,LJP6,0.2598,0.0331,-0.2877,0.1269
50057-3,SK-BR-3,10084-101-1,WZ3105,0.04,uM,LJP5,0.2403,0.0275,-0.2978,0.0844
50057-3,SK-BR-3,10084-101-1,WZ3105,0.12,uM,LJP5,0.2465,0.0404,-0.2866,0.1026
50057-3,SK-BR-3,10084-101-1,WZ3105,0.37,uM,LJP5,0.2542,0.0313,-0.2692,0.1034
50057-3,SK-BR-3,10084-101-1,WZ3105,1.11,uM,LJP5,0.2525,0.0378,-0.2730,0.1051
50057-3,SK-BR-3,10084-101-1,WZ3105,3.33,uM,LJP5,0.2557,0.0298,-0.2655,0.0862
50057-3,SK-BR-3,10084-101-1,WZ3105,10,uM,LJP5,0.2754,0.0453,-0.2266,0.1115
50057-3,SK-BR-3,10086-101-1,XMD11-50,0.04,uM,LJP6,0.8043,0.0480,0.6770,0.0980
50057-3,SK-BR-3,10086-101-1,XMD11-50,0.12,uM,LJP6,0.7964,0.0250,0.6692,0.0707
50057-3,SK-BR-3,10086-101-1,XMD11-50,0.37,uM,LJP6,0.7578,0.0266,0.6086,0.0708
50057-3,SK-BR-3,10086-101-1,XMD11-50,1.11,uM,LJP6,0.7028,0.0323,0.5139,0.0943
50057-3,SK-BR-3,10086-101-1,XMD11-50,3.33,uM,LJP6,0.6041,0.0316,0.3482,0.1071
50057-3,SK-BR-3,10086-101-1,XMD11-50,10,uM,LJP6,0.4420,0.0199,0.0641,0.1068
50057-3,SK-BR-3,10087-101-1,XMD11-85h,0.04,uM,LJP6,0.7506,0.0159,0.6011,0.0538
50057-3,SK-BR-3,10087-101-1,XMD11-85h,0.12,uM,LJP6,0.8434,0.0165,0.7548,0.0307
50057-3,SK-BR-3,10087-101-1,XMD11-85h,0.37,uM,LJP6,0.8586,0.0211,0.7747,0.0456
50057-3,SK-BR-3,10087-101-1,XMD11-85h,1.11,uM,LJP6,0.8491,0.0198,0.7584,0.0506
50057-3,SK-BR-3,10087-101-1,XMD11-85h,3.33,uM,LJP6,0.8675,0.0190,0.7869,0.0471
50057-3,SK-BR-3,10087-101-1,XMD11-85h,10,uM,LJP6,0.7006,0.0405,0.5112,0.0973
50057-3,SK-BR-3,10091-101-1,XMD16-144,0.04,uM,LJP5,0.5461,0.0912,0.2890,0.1097
50057-3,SK-BR-3,10091-101-1,XMD16-144,0.12,uM,LJP5,0.3708,0.0037,-0.0356,0.0681
50057-3,SK-BR-3,10091-101-1,XMD16-144,0.37,uM,LJP5,0.3880,0.0061,-0.0021,0.0495
50057-3,SK-BR-3,10091-101-1,XMD16-144,1.11,uM,LJP5,0.3844,0.0058,-0.0099,0.0713
50057-3,SK-BR-3,10091-101-1,XMD16-144,3.33,uM,LJP5,0.3938,0.0051,0.0083,0.0561
50057-3,SK-BR-3,10091-101-1,XMD16-144,10,uM,LJP5,0.2699,0.0131,-0.2349,0.0851
50057-3,SK-BR-3,10097-101-1,Erlotinib,0.04,uM,LJP5,0.8398,0.0212,0.7558,0.0445
50057-3,SK-BR-3,10097-101-1,Erlotinib,0.12,uM,LJP5,0.9209,0.0240,0.8848,0.0347
50057-3,SK-BR-3,10097-101-1,Erlotinib,0.37,uM,LJP5,0.9606,0.0322,0.9456,0.0493
50057-3,SK-BR-3,10097-101-1,Erlotinib,1.11,uM,LJP5,0.9398,0.0278,0.9106,0.0418
50057-3,SK-BR-3,10097-101-1,Erlotinib,3.33,uM,LJP5,0.9072,0.0339,0.8676,0.0461
50057-3,SK-BR-3,10097-101-1,Erlotinib,10,uM,LJP5,0.4802,0.0088,0.1648,0.0670
50057-3,SK-BR-3,10098-101-1,Gefitinib,0.04,uM,LJP6,0.9452,0.0141,0.9089,0.0316
50057-3,SK-BR-3,10098-101-1,Gefitinib,0.12,uM,LJP6,0.8377,0.0108,0.7403,0.0363
50057-3,SK-BR-3,10098-101-1,Gefitinib,0.37,uM,LJP6,0.7304,0.0167,0.5669,0.0441
50057-3,SK-BR-3,10098-101-1,Gefitinib,1.11,uM,LJP6,0.6411,0.0164,0.4181,0.0571
50057-3,SK-BR-3,10098-101-1,Gefitinib,3.33,uM,LJP6,0.5973,0.0209,0.3424,0.0690
50057-3,SK-BR-3,10098-101-1,Gefitinib,10,uM,LJP6,0.4319,0.0147,0.0480,0.0840
50057-3,SK-BR-3,10099-101-1,Nilotinib,0.04,uM,LJP5,1.0699,0.0309,1.1000,0.0427
50057-3,SK-BR-3,10099-101-1,Nilotinib,0.12,uM,LJP5,1.0793,0.0197,1.1127,0.0247
50057-3,SK-BR-3,10099-101-1,Nilotinib,0.37,uM,LJP5,1.1077,0.0150,1.1544,0.0165
50057-3,SK-BR-3,10099-101-1,Nilotinib,1.11,uM,LJP5,1.0825,0.0283,1.1149,0.0300
50057-3,SK-BR-3,10099-101-1,Nilotinib,3.33,uM,LJP5,1.0600,0.0318,1.0830,0.0390
50057-3,SK-BR-3,10099-101-1,Nilotinib,10,uM,LJP5,0.5039,0.0138,0.2077,0.0559
50057-3,SK-BR-3,10100-101-1,JNK-9L,0.04,uM,LJP6,0.7775,0.0332,0.6485,0.0552
50057-3,SK-BR-3,10100-101-1,JNK-9L,0.12,uM,LJP6,0.8277,0.0478,0.7352,0.0718
50057-3,SK-BR-3,10100-101-1,JNK-9L,0.37,uM,LJP6,0.7744,0.0539,0.6452,0.0865
50057-3,SK-BR-3,10100-101-1,JNK-9L,1.11,uM,LJP6,0.4856,0.0301,0.1500,0.0473
50057-3,SK-BR-3,10100-101-1,JNK-9L,3.33,uM,LJP6,0.3383,0.0304,-0.1290,0.0513
50057-3,SK-BR-3,10100-101-1,JNK-9L,10,uM,LJP6,0.3046,0.0135,-0.1959,0.0754
50057-3,SK-BR-3,10101-101-1,PD0325901,0.04,uM,LJP5,0.9312,0.0137,0.8974,0.0211
50057-3,SK-BR-3,10101-101-1,PD0325901,0.04,uM,LJP6,1.0047,0.0062,1.0091,0.0101
50057-3,SK-BR-3,10101-101-1,PD0325901,0.12,uM,LJP5,0.9106,0.0094,0.8653,0.0203
50057-3,SK-BR-3,10101-101-1,PD0325901,0.12,uM,LJP6,0.9552,0.0249,0.9383,0.0305
50057-3,SK-BR-3,10101-101-1,PD0325901,0.37,uM,LJP5,0.9396,0.0128,0.9077,0.0266
50057-3,SK-BR-3,10101-101-1,PD0325901,0.37,uM,LJP6,0.9429,0.0287,0.9184,0.0351
50057-3,SK-BR-3,10101-101-1,PD0325901,1.11,uM,LJP5,0.8194,0.0107,0.7201,0.0109
50057-3,SK-BR-3,10101-101-1,PD0325901,1.11,uM,LJP6,0.8284,0.0290,0.7355,0.0207
50057-3,SK-BR-3,10101-101-1,PD0325901,3.33,uM,LJP5,0.6364,0.0044,0.4216,0.0338
50057-3,SK-BR-3,10101-101-1,PD0325901,3.33,uM,LJP6,0.6662,0.0302,0.4674,0.0210
50057-3,SK-BR-3,10101-101-1,PD0325901,10,uM,LJP5,0.4886,0.0409,0.1650,0.1166
50057-3,SK-BR-3,10101-101-1,PD0325901,10,uM,LJP6,0.5300,0.0242,0.2279,0.0477
50057-3,SK-BR-3,10108-101-1,Geldanamycin,0.04,uM,LJP5,0.4068,0.0123,0.0313,0.0776
50057-3,SK-BR-3,10108-101-1,Geldanamycin,0.04,uM,LJP6,0.4072,0.0075,0.0036,0.0592
50057-3,SK-BR-3,10108-101-1,Geldanamycin,0.12,uM,LJP5,0.3564,0.0105,-0.0642,0.0790
50057-3,SK-BR-3,10108-101-1,Geldanamycin,0.12,uM,LJP6,0.3685,0.0078,-0.0702,0.0604
50057-3,SK-BR-3,10108-101-1,Geldanamycin,0.37,uM,LJP5,0.3699,0.0104,-0.0368,0.0475
50057-3,SK-BR-3,10108-101-1,Geldanamycin,0.37,uM,LJP6,0.3634,0.0097,-0.0799,0.0569
50057-3,SK-BR-3,10108-101-1,Geldanamycin,1.11,uM,LJP5,0.3805,0.0305,-0.0161,0.0267
50057-3,SK-BR-3,10108-101-1,Geldanamycin,1.11,uM,LJP6,0.3819,0.0205,-0.0439,0.0447
50057-3,SK-BR-3,10108-101-1,Geldanamycin,3.33,uM,LJP5,0.2929,0.0327,-0.1912,0.0778
50057-3,SK-BR-3,10108-101-1,Geldanamycin,3.33,uM,LJP6,0.3109,0.0130,-0.1835,0.0605
50057-3,SK-BR-3,10108-101-1,Geldanamycin,10,uM,LJP5,0.1722,0.0206,-0.4505,0.1065
50057-3,SK-BR-3,10108-101-1,Geldanamycin,10,uM,LJP6,0.1937,0.0065,-0.4312,0.0608
50057-3,SK-BR-3,10109-101-1,YM 201636,0.04,uM,LJP5,1.0855,0.0256,1.1190,0.0250
50057-3,SK-BR-3,10109-101-1,YM 201636,0.12,uM,LJP5,1.0194,0.0215,1.0271,0.0307
50057-3,SK-BR-3,10109-101-1,YM 201636,0.37,uM,LJP5,1.0213,0.0333,1.0252,0.0431
50057-3,SK-BR-3,10109-101-1,YM 201636,1.11,uM,LJP5,0.9269,0.0267,0.8896,0.0418
50057-3,SK-BR-3,10109-101-1,YM 201636,3.33,uM,LJP5,0.8459,0.0178,0.7686,0.0298
50057-3,SK-BR-3,10109-101-1,YM 201636,10,uM,LJP5,0.4813,0.0212,0.1700,0.0273
50057-3,SK-BR-3,10111-101-1,TWS119,0.04,uM,LJP5,1.0675,0.0377,1.0913,0.0442
50057-3,SK-BR-3,10111-101-1,TWS119,0.12,uM,LJP5,0.9981,0.0296,0.9890,0.0429
50057-3,SK-BR-3,10111-101-1,TWS119,0.37,uM,LJP5,1.0373,0.0156,1.0555,0.0253
50057-3,SK-BR-3,10111-101-1,TWS119,1.11,uM,LJP5,1.0109,0.0144,1.0178,0.0247
50057-3,SK-BR-3,10111-101-1,TWS119,3.33,uM,LJP5,0.6717,0.0177,0.4803,0.0546
50057-3,SK-BR-3,10111-101-1,TWS119,10,uM,LJP5,0.2860,0.0456,-0.2120,0.1516
50057-3,SK-BR-3,10112-101-1,PF477736,0.04,uM,LJP5,0.3885,0.0392,-0.0048,0.1092
50057-3,SK-BR-3,10112-101-1,PF477736,0.12,uM,LJP5,0.3439,0.0507,-0.0900,0.1181
50057-3,SK-BR-3,10112-101-1,PF477736,0.37,uM,LJP5,0.3194,0.0289,-0.1361,0.0992
50057-3,SK-BR-3,10112-101-1,PF477736,1.11,uM,LJP5,0.3120,0.0324,-0.1509,0.1023
50057-3,SK-BR-3,10112-101-1,PF477736,3.33,uM,LJP5,0.3001,0.0280,-0.1740,0.0820
50057-3,SK-BR-3,10112-101-1,PF477736,10,uM,LJP5,0.2964,0.0407,-0.1831,0.1174
50057-3,SK-BR-3,10115-102-1,LDN-193189,0.04,uM,LJP5,1.0702,0.0514,1.0894,0.0631
50057-3,SK-BR-3,10115-102-1,LDN-193189,0.12,uM,LJP5,1.0267,0.0449,1.0405,0.0647
50057-3,SK-BR-3,10115-102-1,LDN-193189,0.37,uM,LJP5,1.0648,0.0221,1.0949,0.0321
50057-3,SK-BR-3,10115-102-1,LDN-193189,1.11,uM,LJP5,0.9896,0.0175,0.9867,0.0275
50057-3,SK-BR-3,10115-102-1,LDN-193189,3.33,uM,LJP5,0.3493,0.0928,-0.0902,0.1299
50057-3,SK-BR-3,10115-102-1,LDN-193189,10,uM,LJP5,0.1460,0.0150,-0.5146,0.0624
50057-3,SK-BR-3,10116-101-1,PF431396,0.04,uM,LJP5,1.0263,0.0107,1.0372,0.0138
50057-3,SK-BR-3,10116-101-1,PF431396,0.12,uM,LJP5,0.7703,0.0301,0.6525,0.0466
50057-3,SK-BR-3,10116-101-1,PF431396,0.37,uM,LJP5,0.5585,0.0248,0.3063,0.0100
50057-3,SK-BR-3,10116-101-1,PF431396,1.11,uM,LJP5,0.4063,0.0128,0.0323,0.0408
50057-3,SK-BR-3,10116-101-1,PF431396,3.33,uM,LJP5,0.3797,0.0103,-0.0178,0.0410
50057-3,SK-BR-3,10116-101-1,PF431396,10,uM,LJP5,0.3173,0.0291,-0.1410,0.1050
50057-3,SK-BR-3,10117-101-1,Celastrol,0.04,uM,LJP6,0.9027,0.0647,0.8647,0.0832
50057-3,SK-BR-3,10117-101-1,Celastrol,0.12,uM,LJP6,0.8580,0.0418,0.7833,0.0621
50057-3,SK-BR-3,10117-101-1,Celastrol,0.37,uM,LJP6,0.4200,0.0173,0.0242,0.0903
50057-3,SK-BR-3,10117-101-1,Celastrol,1.11,uM,LJP6,0.3239,0.0096,-0.1578,0.0679
50057-3,SK-BR-3,10117-101-1,Celastrol,3.33,uM,LJP6,0.2741,0.0052,-0.2584,0.0780
50057-3,SK-BR-3,10117-101-1,Celastrol,10,uM,LJP6,0.2908,0.0177,-0.2240,0.0476
50057-3,SK-BR-3,10119-101-1,SU11274,0.04,uM,LJP5,1.0980,0.0274,1.1438,0.0434
50057-3,SK-BR-3,10119-101-1,SU11274,0.12,uM,LJP5,1.0526,0.0333,1.0792,0.0489
50057-3,SK-BR-3,10119-101-1,SU11274,0.37,uM,LJP5,1.0754,0.0225,1.1096,0.0330
50057-3,SK-BR-3,10119-101-1,SU11274,1.11,uM,LJP5,0.9954,0.0248,0.9963,0.0337
50057-3,SK-BR-3,10119-101-1,SU11274,3.33,uM,LJP5,0.9462,0.0161,0.9230,0.0186
50057-3,SK-BR-3,10119-101-1,SU11274,10,uM,LJP5,0.3917,0.0253,0.0063,0.0138
50057-3,SK-BR-3,10120-102-1,Canertinib,0.04,uM,LJP6,0.4848,0.0171,0.1476,0.0515
50057-3,SK-BR-3,10120-102-1,Canertinib,0.12,uM,LJP6,0.4177,0.0073,0.0230,0.0664
50057-3,SK-BR-3,10120-102-1,Canertinib,0.37,uM,LJP6,0.3900,0.0148,-0.0304,0.0891
50057-3,SK-BR-3,10120-102-1,Canertinib,1.11,uM,LJP6,0.3617,0.0133,-0.0844,0.0894
50057-3,SK-BR-3,10120-102-1,Canertinib,3.33,uM,LJP6,0.3408,0.0084,-0.1243,0.0802
50057-3,SK-BR-3,10120-102-1,Canertinib,10,uM,LJP6,0.2725,0.0052,-0.2613,0.0675
50057-3,SK-BR-3,10122-101-1,NVP-AEW541,0.04,uM,LJP5,1.0451,0.0410,1.0698,0.0578
50057-3,SK-BR-3,10122-101-1,NVP-AEW541,0.12,uM,LJP5,1.0028,0.0362,1.0059,0.0515
50057-3,SK-BR-3,10122-101-1,NVP-AEW541,0.37,uM,LJP5,0.9915,0.0613,0.9927,0.0842
50057-3,SK-BR-3,10122-101-1,NVP-AEW541,1.11,uM,LJP5,0.9789,0.0378,0.9707,0.0531
50057-3,SK-BR-3,10122-101-1,NVP-AEW541,3.33,uM,LJP5,0.9766,0.0373,0.9712,0.0483
50057-3,SK-BR-3,10122-101-1,NVP-AEW541,10,uM,LJP5,0.5265,0.0719,0.2442,0.1307
50057-3,SK-BR-3,10125-101-1,PHA-665752,0.04,uM,LJP5,1.0228,0.0294,1.0367,0.0412
50057-3,SK-BR-3,10125-101-1,PHA-665752,0.12,uM,LJP5,1.0420,0.0209,1.0606,0.0303
50057-3,SK-BR-3,10125-101-1,PHA-665752,0.37,uM,LJP5,1.0454,0.0357,1.0701,0.0503
50057-3,SK-BR-3,10125-101-1,PHA-665752,1.11,uM,LJP5,1.0443,0.0378,1.0604,0.0564
50057-3,SK-BR-3,10125-101-1,PHA-665752,3.33,uM,LJP5,0.9664,0.0215,0.9555,0.0271
50057-3,SK-BR-3,10125-101-1,PHA-665752,10,uM,LJP5,0.4046,0.1786,0.0120,0.2871
50057-3,SK-BR-3,10126-101-1,PI103,0.04,uM,LJP6,0.9316,0.0231,0.8996,0.0258
50057-3,SK-BR-3,10126-101-1,PI103,0.12,uM,LJP6,0.7288,0.0588,0.5787,0.0580
50057-3,SK-BR-3,10126-101-1,PI103,0.37,uM,LJP6,0.5232,0.0524,0.2212,0.0302
50057-3,SK-BR-3,10126-101-1,PI103,1.11,uM,LJP6,0.4015,0.0316,-0.0082,0.0868
50057-3,SK-BR-3,10126-101-1,PI103,3.33,uM,LJP6,0.3641,0.0325,-0.0811,0.1154
50057-3,SK-BR-3,10126-101-1,PI103,10,uM,LJP6,0.3349,0.0244,-0.1365,0.1011
50057-3,SK-BR-3,10127-101-1,Dovitinib,0.04,uM,LJP5,0.8124,0.0361,0.7115,0.0664
50057-3,SK-BR-3,10127-101-1,Dovitinib,0.12,uM,LJP5,0.7769,0.0152,0.6587,0.0383
50057-3,SK-BR-3,10127-101-1,Dovitinib,0.37,uM,LJP5,0.6706,0.0444,0.4969,0.0358
50057-3,SK-BR-3,10127-101-1,Dovitinib,1.11,uM,LJP5,0.6563,0.0524,0.4738,0.0468
50057-3,SK-BR-3,10127-101-1,Dovitinib,3.33,uM,LJP5,0.5403,0.0327,0.2754,0.0230
50057-3,SK-BR-3,10127-101-1,Dovitinib,10,uM,LJP5,0.4660,0.0189,0.1421,0.0262
50057-3,SK-BR-3,10128-101-1,GSK 690693,0.04,uM,LJP5,0.7250,0.0173,0.5784,0.0370
50057-3,SK-BR-3,10128-101-1,GSK 690693,0.12,uM,LJP5,0.7092,0.0209,0.5551,0.0199
50057-3,SK-BR-3,10128-101-1,GSK 690693,0.37,uM,LJP5,0.7100,0.0164,0.5563,0.0218
50057-3,SK-BR-3,10128-101-1,GSK 690693,1.11,uM,LJP5,0.7193,0.0153,0.5711,0.0224
50057-3,SK-BR-3,10128-101-1,GSK 690693,3.33,uM,LJP5,0.7501,0.0122,0.6199,0.0182
50057-3,SK-BR-3,10128-101-1,GSK 690693,10,uM,LJP5,0.7724,0.0329,0.6576,0.0374
50057-3,SK-BR-3,10132-101-1,SNS-032,0.04,uM,LJP6,0.6671,0.0605,0.4637,0.1063
50057-3,SK-BR-3,10132-101-1,SNS-032,0.12,uM,LJP6,0.2915,0.0089,-0.2228,0.0883
50057-3,SK-BR-3,10132-101-1,SNS-032,0.37,uM,LJP6,0.2480,0.0109,-0.3120,0.0993
50057-3,SK-BR-3,10132-101-1,SNS-032,1.11,uM,LJP6,0.2386,0.0104,-0.3316,0.0961
50057-3,SK-BR-3,10132-101-1,SNS-032,3.33,uM,LJP6,0.2331,0.0201,-0.3432,0.1191
50057-3,SK-BR-3,10132-101-1,SNS-032,10,uM,LJP6,0.2218,0.0210,-0.3672,0.1207
