Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Drug Concentration,Conc Units,Timepoint,Timepoint Units,Measured pERK (Alexa 488),Measured p-Rb (Alexa 568),Alexa Fluor 647,Measured p-Akt/p-4EBP1/p-S6 (Alexa 647),Image
10172-101-2,GSK1059615,50091-2,AU565,3.16,nM,6,hr,279.66,70.10,p-4EBP1,86.62,330001
10172-101-2,GSK1059615,50091-2,AU565,3.16,nM,24,hr,461.44,121.03,p-4EBP1,176.71,343114
10057-102-1,MK2206,50091-2,AU565,3.16,nM,6,hr,207.40,54.85,p-4EBP1,68.29,330164
10057-102-1,MK2206,50091-2,AU565,3.16,nM,24,hr,384.49,131.77,p-4EBP1,191.65,344023
10280-999-2,Triciribine,50091-2,AU565,3.16,nM,6,hr,336.77,87.01,p-4EBP1,121.09,330668
10280-999-2,Triciribine,50091-2,AU565,3.16,nM,24,hr,480.11,134.11,p-4EBP1,213.24,341143
10232-101-2,Dactolisib,50091-2,AU565,3.16,nM,6,hr,213.94,51.94,p-4EBP1,62.87,328877
10232-101-2,Dactolisib,50091-2,AU565,3.16,nM,24,hr,505.04,119.83,p-4EBP1,175.81,341873
10098-101-2,Gefitinib,50213-2,HCC1954,3.16,nM,6,hr,131.67,28.62,p-4EBP1,36.83,354185
10098-101-2,Gefitinib,50213-2,HCC1954,3.16,nM,24,hr,247.32,124.64,p-4EBP1,127.73,345410
10345-999-1,Torkinib,50213-2,HCC1954,0.422,nM,6,hr,168.42,32.42,p-4EBP1,42.36,355237
10345-999-1,Torkinib,50213-2,HCC1954,0.422,nM,24,hr,272.73,120.17,p-4EBP1,122.70,345994
10172-101-2,GSK1059615,50213-2,HCC1954,3.16,nM,6,hr,296.05,77.18,p-4EBP1,87.72,355697
10172-101-2,GSK1059615,50213-2,HCC1954,3.16,nM,24,hr,259.39,116.67,p-4EBP1,122.67,346328
10057-102-1,MK2206,50213-2,HCC1954,3.16,nM,6,hr,231.66,69.95,p-4EBP1,91.88,356362
10057-102-1,MK2206,50213-2,HCC1954,3.16,nM,24,hr,270.27,124.39,p-4EBP1,138.37,346994
10280-999-2,Triciribine,50213-2,HCC1954,3.16,nM,6,hr,289.18,96.47,p-4EBP1,120.20,356705
10280-999-2,Triciribine,50213-2,HCC1954,3.16,nM,24,hr,321.97,119.92,p-4EBP1,138.73,344339
10232-101-2,Dactolisib,50213-2,HCC1954,3.16,nM,6,hr,156.03,43.22,p-4EBP1,57.72,354652
10232-101-2,Dactolisib,50213-2,HCC1954,3.16,nM,24,hr,287.27,107.15,p-4EBP1,136.44,344888
10098-101-2,Gefitinib,50583-5,MCF 10A,3.16,nM,6,hr,427.67,169.41,p-4EBP1,298.33,334888
10098-101-2,Gefitinib,50583-5,MCF 10A,3.16,nM,24,hr,281.45,145.65,p-4EBP1,262.63,348802
10345-999-1,Torkinib,50583-5,MCF 10A,0.422,nM,6,hr,460.02,163.94,p-4EBP1,355.88,335744
10345-999-1,Torkinib,50583-5,MCF 10A,0.422,nM,24,hr,321.05,157.86,p-4EBP1,262.23,349459
10172-101-2,GSK1059615,50583-5,MCF 10A,3.16,nM,6,hr,413.32,170.40,p-4EBP1,360.27,336266
10172-101-2,GSK1059615,50583-5,MCF 10A,3.16,nM,24,hr,288.84,144.14,p-4EBP1,262.85,349747
10057-102-1,MK2206,50583-5,MCF 10A,3.16,nM,6,hr,390.81,157.12,p-4EBP1,361.22,336626
10057-102-1,MK2206,50583-5,MCF 10A,3.16,nM,24,hr,288.88,154.95,p-4EBP1,271.07,350359
10280-999-2,Triciribine,50583-5,MCF 10A,3.16,nM,6,hr,393.04,157.90,p-4EBP1,362.41,337345
10280-999-2,Triciribine,50583-5,MCF 10A,3.16,nM,24,hr,280.89,144.27,p-4EBP1,264.66,347741
10232-101-2,Dactolisib,50583-5,MCF 10A,3.16,nM,6,hr,383.57,152.45,p-4EBP1,353.00,335006
10232-101-2,Dactolisib,50583-5,MCF 10A,3.16,nM,24,hr,263.37,155.04,p-4EBP1,239.83,348109
10098-101-2,Gefitinib,50541-2,T47D,3.16,nM,6,hr,186.66,102.68,p-4EBP1,497.08,338101
10098-101-2,Gefitinib,50541-2,T47D,3.16,nM,24,hr,156.92,127.73,p-4EBP1,422.23,351764
10345-999-1,Torkinib,50541-2,T47D,0.422,nM,6,hr,177.20,86.68,p-4EBP1,519.62,339028
10345-999-1,Torkinib,50541-2,T47D,0.422,nM,24,hr,164.15,114.64,p-4EBP1,409.39,352619
10172-101-2,GSK1059615,50541-2,T47D,3.16,nM,6,hr,171.49,82.21,p-4EBP1,477.19,339362
10172-101-2,GSK1059615,50541-2,T47D,3.16,nM,24,hr,153.00,108.63,p-4EBP1,405.03,352907
10057-102-1,MK2206,50541-2,T47D,3.16,nM,6,hr,98.37,46.79,p-4EBP1,109.35,340073
10057-102-1,MK2206,50541-2,T47D,3.16,nM,24,hr,158.36,116.30,p-4EBP1,402.92,353456
10280-999-2,Triciribine,50541-2,T47D,3.16,nM,6,hr,103.74,54.46,p-4EBP1,177.89,340450
10280-999-2,Triciribine,50541-2,T47D,3.16,nM,24,hr,148.05,109.27,p-4EBP1,380.75,350828
10232-101-2,Dactolisib,50541-2,T47D,3.16,nM,6,hr,95.07,41.72,p-4EBP1,113.42,338578
10232-101-2,Dactolisib,50541-2,T47D,3.16,nM,24,hr,130.71,105.86,p-4EBP1,330.99,351170
10098-101-2,Gefitinib,50091-2,AU565,10.0,nM,6,hr,270.31,60.18,p-4EBP1,67.03,328444
10098-101-2,Gefitinib,50091-2,AU565,10.0,nM,24,hr,578.95,132.32,p-4EBP1,159.55,342134
10345-999-1,Torkinib,50091-2,AU565,1.78,nM,6,hr,314.58,59.69,p-4EBP1,74.62,329524
10345-999-1,Torkinib,50091-2,AU565,1.78,nM,24,hr,444.44,115.02,p-4EBP1,175.73,342718
10172-101-2,GSK1059615,50091-2,AU565,10.0,nM,6,hr,326.98,81.03,p-4EBP1,97.82,329632
10172-101-2,GSK1059615,50091-2,AU565,10.0,nM,24,hr,419.93,125.00,p-4EBP1,171.14,343438
10057-102-1,MK2206,50091-2,AU565,10.0,nM,6,hr,290.33,70.47,p-4EBP1,87.48,330569
10057-102-1,MK2206,50091-2,AU565,10.0,nM,24,hr,388.98,123.91,p-4EBP1,182.04,343816
10280-999-2,Triciribine,50091-2,AU565,10.0,nM,6,hr,303.55,73.81,p-4EBP1,96.67,331063
10280-999-2,Triciribine,50091-2,AU565,10.0,nM,24,hr,483.38,131.11,p-4EBP1,202.25,341107
10232-101-2,Dactolisib,50091-2,AU565,10.0,nM,6,hr,265.79,60.68,p-4EBP1,71.04,328984
10232-101-2,Dactolisib,50091-2,AU565,10.0,nM,24,hr,490.21,100.31,p-4EBP1,145.62,341630
10098-101-2,Gefitinib,50213-2,HCC1954,10.0,nM,6,hr,245.75,64.95,p-4EBP1,77.93,353987
10098-101-2,Gefitinib,50213-2,HCC1954,10.0,nM,24,hr,287.38,129.52,p-4EBP1,138.88,345212
10345-999-1,Torkinib,50213-2,HCC1954,1.78,nM,6,hr,212.65,51.08,p-4EBP1,63.09,355381
10345-999-1,Torkinib,50213-2,HCC1954,1.78,nM,24,hr,284.82,122.84,p-4EBP1,124.06,346165
10172-101-2,GSK1059615,50213-2,HCC1954,10.0,nM,6,hr,337.36,90.47,p-4EBP1,107.28,355805
10172-101-2,GSK1059615,50213-2,HCC1954,10.0,nM,24,hr,289.47,125.09,p-4EBP1,127.59,346292
10057-102-1,MK2206,50213-2,HCC1954,10.0,nM,6,hr,185.17,54.04,p-4EBP1,77.68,356443
10057-102-1,MK2206,50213-2,HCC1954,10.0,nM,24,hr,282.44,126.20,p-4EBP1,148.52,347218
10280-999-2,Triciribine,50213-2,HCC1954,10.0,nM,6,hr,269.46,93.28,p-4EBP1,122.37,357001
10280-999-2,Triciribine,50213-2,HCC1954,10.0,nM,24,hr,300.41,117.49,p-4EBP1,132.01,344213
10232-101-2,Dactolisib,50213-2,HCC1954,10.0,nM,6,hr,225.45,79.13,p-4EBP1,63.25,354688
10232-101-2,Dactolisib,50213-2,HCC1954,10.0,nM,24,hr,286.89,98.96,p-4EBP1,87.39,345068
10098-101-2,Gefitinib,50583-5,MCF 10A,10.0,nM,6,hr,392.32,167.11,p-4EBP1,286.87,334439
10098-101-2,Gefitinib,50583-5,MCF 10A,10.0,nM,24,hr,269.57,156.39,p-4EBP1,207.59,348973
10345-999-1,Torkinib,50583-5,MCF 10A,1.78,nM,6,hr,433.78,166.62,p-4EBP1,324.13,335977
10345-999-1,Torkinib,50583-5,MCF 10A,1.78,nM,24,hr,364.66,163.44,p-4EBP1,234.28,349370
10172-101-2,GSK1059615,50583-5,MCF 10A,10.0,nM,6,hr,401.96,171.56,p-4EBP1,355.01,336131
10172-101-2,GSK1059615,50583-5,MCF 10A,10.0,nM,24,hr,279.03,145.93,p-4EBP1,268.60,350008
10057-102-1,MK2206,50583-5,MCF 10A,10.0,nM,6,hr,386.97,157.19,p-4EBP1,348.64,336904
10057-102-1,MK2206,50583-5,MCF 10A,10.0,nM,24,hr,288.54,161.95,p-4EBP1,241.30,350467
10280-999-2,Triciribine,50583-5,MCF 10A,10.0,nM,6,hr,388.83,158.76,p-4EBP1,350.13,337156
10280-999-2,Triciribine,50583-5,MCF 10A,10.0,nM,24,hr,249.12,152.71,p-4EBP1,219.19,347884
10232-101-2,Dactolisib,50583-5,MCF 10A,10.0,nM,6,hr,347.50,141.22,p-4EBP1,316.53,335230
10232-101-2,Dactolisib,50583-5,MCF 10A,10.0,nM,24,hr,248.03,157.81,p-4EBP1,175.70,348010
10098-101-2,Gefitinib,50541-2,T47D,10.0,nM,6,hr,175.71,99.57,p-4EBP1,491.96,338119
10098-101-2,Gefitinib,50541-2,T47D,10.0,nM,24,hr,158.85,126.81,p-4EBP1,425.94,351773
10345-999-1,Torkinib,50541-2,T47D,1.78,nM,6,hr,167.95,89.40,p-4EBP1,486.38,338857
10345-999-1,Torkinib,50541-2,T47D,1.78,nM,24,hr,164.91,104.23,p-4EBP1,387.34,352646
10172-101-2,GSK1059615,50541-2,T47D,10.0,nM,6,hr,168.20,86.24,p-4EBP1,489.92,339443
10172-101-2,GSK1059615,50541-2,T47D,10.0,nM,24,hr,150.30,110.80,p-4EBP1,419.73,352925
10057-102-1,MK2206,50541-2,T47D,10.0,nM,6,hr,91.10,36.69,p-4EBP1,83.19,340136
10057-102-1,MK2206,50541-2,T47D,10.0,nM,24,hr,140.94,108.00,p-4EBP1,379.38,353339
10280-999-2,Triciribine,50541-2,T47D,10.0,nM,6,hr,101.35,56.34,p-4EBP1,175.96,340657
10280-999-2,Triciribine,50541-2,T47D,10.0,nM,24,hr,149.41,107.99,p-4EBP1,375.92,350612
10232-101-2,Dactolisib,50541-2,T47D,10.0,nM,6,hr,93.60,47.20,p-4EBP1,138.33,338443
10232-101-2,Dactolisib,50541-2,T47D,10.0,nM,24,hr,129.25,89.70,p-4EBP1,315.12,351386
10098-101-2,Gefitinib,50091-2,AU565,31.6,nM,6,hr,209.97,51.77,p-4EBP1,55.32,328381
10098-101-2,Gefitinib,50091-2,AU565,31.6,nM,24,hr,517.21,129.55,p-4EBP1,150.66,342116
10345-999-1,Torkinib,50091-2,AU565,7.5,nM,6,hr,237.10,47.79,p-4EBP1,50.80,329425
10345-999-1,Torkinib,50091-2,AU565,7.5,nM,24,hr,440.89,99.20,p-4EBP1,147.59,342583
10172-101-2,GSK1059615,50091-2,AU565,31.6,nM,6,hr,266.90,67.18,p-4EBP1,86.16,329857
10172-101-2,GSK1059615,50091-2,AU565,31.6,nM,24,hr,464.06,126.07,p-4EBP1,178.40,343052
10057-102-1,MK2206,50091-2,AU565,31.6,nM,6,hr,255.74,64.02,p-4EBP1,86.03,330551
10057-102-1,MK2206,50091-2,AU565,31.6,nM,24,hr,367.02,117.76,p-4EBP1,165.52,343699
10280-999-2,Triciribine,50091-2,AU565,31.6,nM,6,hr,349.86,83.99,p-4EBP1,125.84,330812
10280-999-2,Triciribine,50091-2,AU565,31.6,nM,24,hr,499.46,124.57,p-4EBP1,196.58,341008
10232-101-2,Dactolisib,50091-2,AU565,31.6,nM,6,hr,264.17,56.83,p-4EBP1,33.37,328814
10232-101-2,Dactolisib,50091-2,AU565,31.6,nM,24,hr,408.64,76.41,p-4EBP1,77.73,341801
10098-101-2,Gefitinib,50213-2,HCC1954,31.6,nM,6,hr,185.05,50.15,p-4EBP1,68.91,353960
10098-101-2,Gefitinib,50213-2,HCC1954,31.6,nM,24,hr,270.46,128.49,p-4EBP1,136.05,345374
10345-999-1,Torkinib,50213-2,HCC1954,7.5,nM,6,hr,176.66,32.26,p-4EBP1,41.13,355246
10345-999-1,Torkinib,50213-2,HCC1954,7.5,nM,24,hr,252.28,107.51,p-4EBP1,112.23,346210
10172-101-2,GSK1059615,50213-2,HCC1954,31.6,nM,6,hr,274.65,82.84,p-4EBP1,93.37,355876
10172-101-2,GSK1059615,50213-2,HCC1954,31.6,nM,24,hr,288.77,118.12,p-4EBP1,126.97,346552
10057-102-1,MK2206,50213-2,HCC1954,31.6,nM,6,hr,242.21,77.05,p-4EBP1,103.37,356138
10057-102-1,MK2206,50213-2,HCC1954,31.6,nM,24,hr,308.69,125.19,p-4EBP1,149.50,347030
10280-999-2,Triciribine,50213-2,HCC1954,31.6,nM,6,hr,250.28,91.52,p-4EBP1,117.60,357082
10280-999-2,Triciribine,50213-2,HCC1954,31.6,nM,24,hr,268.23,117.03,p-4EBP1,128.35,344159
10232-101-2,Dactolisib,50213-2,HCC1954,31.6,nM,6,hr,190.11,67.14,p-4EBP1,26.14,354751
10232-101-2,Dactolisib,50213-2,HCC1954,31.6,nM,24,hr,259.09,89.65,p-4EBP1,38.06,345094
10098-101-2,Gefitinib,50583-5,MCF 10A,31.6,nM,6,hr,404.00,166.61,p-4EBP1,295.81,334897
10098-101-2,Gefitinib,50583-5,MCF 10A,31.6,nM,24,hr,254.64,161.24,p-4EBP1,186.14,348793
10345-999-1,Torkinib,50583-5,MCF 10A,7.5,nM,6,hr,448.64,163.43,p-4EBP1,292.01,335546
10345-999-1,Torkinib,50583-5,MCF 10A,7.5,nM,24,hr,362.68,177.31,p-4EBP1,160.77,349468
10172-101-2,GSK1059615,50583-5,MCF 10A,31.6,nM,6,hr,379.12,165.32,p-4EBP1,348.91,336383
10172-101-2,GSK1059615,50583-5,MCF 10A,31.6,nM,24,hr,290.16,157.18,p-4EBP1,233.47,349990
10057-102-1,MK2206,50583-5,MCF 10A,31.6,nM,6,hr,375.80,155.36,p-4EBP1,359.32,337021
10057-102-1,MK2206,50583-5,MCF 10A,31.6,nM,24,hr,264.50,170.32,p-4EBP1,218.34,350099
10280-999-2,Triciribine,50583-5,MCF 10A,31.6,nM,6,hr,379.12,156.82,p-4EBP1,360.76,337372
10280-999-2,Triciribine,50583-5,MCF 10A,31.6,nM,24,hr,237.54,158.78,p-4EBP1,206.20,347390
10232-101-2,Dactolisib,50583-5,MCF 10A,31.6,nM,6,hr,348.78,134.55,p-4EBP1,195.18,335185
10232-101-2,Dactolisib,50583-5,MCF 10A,31.6,nM,24,hr,276.44,153.41,p-4EBP1,89.11,348199
10098-101-2,Gefitinib,50541-2,T47D,31.6,nM,6,hr,161.99,98.63,p-4EBP1,479.28,337903
10098-101-2,Gefitinib,50541-2,T47D,31.6,nM,24,hr,141.14,119.21,p-4EBP1,409.49,351710
10345-999-1,Torkinib,50541-2,T47D,7.5,nM,6,hr,162.62,84.08,p-4EBP1,434.94,338911
10345-999-1,Torkinib,50541-2,T47D,7.5,nM,24,hr,135.75,78.36,p-4EBP1,306.59,352304
10172-101-2,GSK1059615,50541-2,T47D,31.6,nM,6,hr,169.81,82.41,p-4EBP1,499.15,339497
10172-101-2,GSK1059615,50541-2,T47D,31.6,nM,24,hr,147.95,105.49,p-4EBP1,411.60,353105
10057-102-1,MK2206,50541-2,T47D,31.6,nM,6,hr,94.55,35.69,p-4EBP1,78.93,339938
10057-102-1,MK2206,50541-2,T47D,31.6,nM,24,hr,148.55,96.56,p-4EBP1,352.26,353510
10280-999-2,Triciribine,50541-2,T47D,31.6,nM,6,hr,107.57,58.92,p-4EBP1,199.41,340855
10280-999-2,Triciribine,50541-2,T47D,31.6,nM,24,hr,160.29,105.55,p-4EBP1,367.55,350765
10232-101-2,Dactolisib,50541-2,T47D,31.6,nM,6,hr,90.45,41.37,p-4EBP1,104.60,338362
10232-101-2,Dactolisib,50541-2,T47D,31.6,nM,24,hr,112.85,54.74,p-4EBP1,222.74,351655
10098-101-2,Gefitinib,50091-2,AU565,100.0,nM,6,hr,277.70,67.19,p-4EBP1,80.51,328058
10098-101-2,Gefitinib,50091-2,AU565,100.0,nM,24,hr,469.54,116.93,p-4EBP1,140.88,342107
10345-999-1,Torkinib,50091-2,AU565,31.6,nM,6,hr,251.01,49.47,p-4EBP1,31.81,329210
10345-999-1,Torkinib,50091-2,AU565,31.6,nM,24,hr,395.95,75.66,p-4EBP1,84.49,342736
10172-101-2,GSK1059615,50091-2,AU565,100.0,nM,6,hr,260.75,64.41,p-4EBP1,85.16,329677
10172-101-2,GSK1059615,50091-2,AU565,100.0,nM,24,hr,453.87,115.71,p-4EBP1,166.38,343123
10057-102-1,MK2206,50091-2,AU565,100.0,nM,6,hr,302.08,70.82,p-4EBP1,107.19,330209
10057-102-1,MK2206,50091-2,AU565,100.0,nM,24,hr,354.53,104.31,p-4EBP1,151.28,343969
10280-999-2,Triciribine,50091-2,AU565,100.0,nM,6,hr,214.70,54.97,p-4EBP1,65.17,330776
10280-999-2,Triciribine,50091-2,AU565,100.0,nM,24,hr,498.81,112.95,p-4EBP1,174.19,341332
10232-101-2,Dactolisib,50091-2,AU565,100.0,nM,6,hr,330.98,64.06,p-4EBP1,14.64,328913
10232-101-2,Dactolisib,50091-2,AU565,100.0,nM,24,hr,396.58,64.02,p-4EBP1,26.27,341567
10098-101-2,Gefitinib,50213-2,HCC1954,100.0,nM,6,hr,203.30,78.66,p-4EBP1,85.64,353924
10098-101-2,Gefitinib,50213-2,HCC1954,100.0,nM,24,hr,270.16,123.24,p-4EBP1,131.72,345248
10345-999-1,Torkinib,50213-2,HCC1954,31.6,nM,6,hr,144.70,27.42,p-4EBP1,31.74,355075
10345-999-1,Torkinib,50213-2,HCC1954,31.6,nM,24,hr,262.35,103.57,p-4EBP1,106.07,346219
10172-101-2,GSK1059615,50213-2,HCC1954,100.0,nM,6,hr,229.66,69.48,p-4EBP1,77.07,355733
10172-101-2,GSK1059615,50213-2,HCC1954,100.0,nM,24,hr,247.76,103.78,p-4EBP1,117.81,346579
10057-102-1,MK2206,50213-2,HCC1954,100.0,nM,6,hr,182.03,57.03,p-4EBP1,78.37,356371
10057-102-1,MK2206,50213-2,HCC1954,100.0,nM,24,hr,268.73,123.68,p-4EBP1,145.16,347048
10280-999-2,Triciribine,50213-2,HCC1954,100.0,nM,6,hr,240.14,87.78,p-4EBP1,117.61,356858
10280-999-2,Triciribine,50213-2,HCC1954,100.0,nM,24,hr,292.68,121.22,p-4EBP1,122.83,344429
10232-101-2,Dactolisib,50213-2,HCC1954,100.0,nM,6,hr,201.86,59.83,p-4EBP1,13.31,354607
10232-101-2,Dactolisib,50213-2,HCC1954,100.0,nM,24,hr,270.29,86.15,p-4EBP1,19.38,345005
10098-101-2,Gefitinib,50583-5,MCF 10A,100.0,nM,6,hr,342.18,162.05,p-4EBP1,285.03,334879
10098-101-2,Gefitinib,50583-5,MCF 10A,100.0,nM,24,hr,253.20,163.24,p-4EBP1,174.55,348470
10345-999-1,Torkinib,50583-5,MCF 10A,31.6,nM,6,hr,486.85,159.54,p-4EBP1,207.18,335860
10345-999-1,Torkinib,50583-5,MCF 10A,31.6,nM,24,hr,373.58,173.81,p-4EBP1,118.55,349352
10172-101-2,GSK1059615,50583-5,MCF 10A,100.0,nM,6,hr,320.49,163.19,p-4EBP1,331.19,336113
10172-101-2,GSK1059615,50583-5,MCF 10A,100.0,nM,24,hr,255.40,153.30,p-4EBP1,206.46,349828
10057-102-1,MK2206,50583-5,MCF 10A,100.0,nM,6,hr,387.84,152.65,p-4EBP1,359.27,336590
10057-102-1,MK2206,50583-5,MCF 10A,100.0,nM,24,hr,267.60,168.79,p-4EBP1,204.90,350404
10280-999-2,Triciribine,50583-5,MCF 10A,100.0,nM,6,hr,390.18,153.46,p-4EBP1,360.59,337327
10280-999-2,Triciribine,50583-5,MCF 10A,100.0,nM,24,hr,233.97,155.96,p-4EBP1,184.14,347534
10232-101-2,Dactolisib,50583-5,MCF 10A,100.0,nM,6,hr,352.97,128.10,p-4EBP1,59.80,335347
10232-101-2,Dactolisib,50583-5,MCF 10A,100.0,nM,24,hr,315.69,93.24,p-4EBP1,24.59,348181
10098-101-2,Gefitinib,50541-2,T47D,100.0,nM,6,hr,160.51,99.08,p-4EBP1,483.73,338047
10098-101-2,Gefitinib,50541-2,T47D,100.0,nM,24,hr,143.88,111.89,p-4EBP1,390.92,351737
10345-999-1,Torkinib,50541-2,T47D,31.6,nM,6,hr,152.82,76.33,p-4EBP1,310.16,339091
10345-999-1,Torkinib,50541-2,T47D,31.6,nM,24,hr,124.43,49.09,p-4EBP1,182.93,352430
10172-101-2,GSK1059615,50541-2,T47D,100.0,nM,6,hr,161.08,79.36,p-4EBP1,506.97,339775
10172-101-2,GSK1059615,50541-2,T47D,100.0,nM,24,hr,146.73,75.48,p-4EBP1,382.12,353033
10057-102-1,MK2206,50541-2,T47D,100.0,nM,6,hr,93.04,34.39,p-4EBP1,75.18,339902
10057-102-1,MK2206,50541-2,T47D,100.0,nM,24,hr,137.94,84.66,p-4EBP1,345.76,353357
10280-999-2,Triciribine,50541-2,T47D,100.0,nM,6,hr,104.28,51.90,p-4EBP1,172.03,340621
10280-999-2,Triciribine,50541-2,T47D,100.0,nM,24,hr,154.96,92.67,p-4EBP1,347.47,351070
10232-101-2,Dactolisib,50541-2,T47D,100.0,nM,6,hr,93.80,43.48,p-4EBP1,61.08,338380
10232-101-2,Dactolisib,50541-2,T47D,100.0,nM,24,hr,105.99,39.21,p-4EBP1,90.68,351664
10098-101-2,Gefitinib,50091-2,AU565,316.0,nM,6,hr,214.01,52.78,p-4EBP1,62.72,328336
10098-101-2,Gefitinib,50091-2,AU565,316.0,nM,24,hr,414.76,95.73,p-4EBP1,130.92,342358
10345-999-1,Torkinib,50091-2,AU565,133.0,nM,6,hr,273.77,50.73,p-4EBP1,12.35,329129
10345-999-1,Torkinib,50091-2,AU565,133.0,nM,24,hr,366.54,67.97,p-4EBP1,27.95,342916
10172-101-2,GSK1059615,50091-2,AU565,316.0,nM,6,hr,289.06,63.60,p-4EBP1,86.03,329713
10172-101-2,GSK1059615,50091-2,AU565,316.0,nM,24,hr,482.72,91.32,p-4EBP1,156.20,343402
10057-102-1,MK2206,50091-2,AU565,316.0,nM,6,hr,333.41,71.95,p-4EBP1,113.09,330604
10057-102-1,MK2206,50091-2,AU565,316.0,nM,24,hr,342.39,86.36,p-4EBP1,122.77,343619
10280-999-2,Triciribine,50091-2,AU565,316.0,nM,6,hr,374.37,86.05,p-4EBP1,118.53,331018
10280-999-2,Triciribine,50091-2,AU565,316.0,nM,24,hr,499.67,91.10,p-4EBP1,143.95,341287
10232-101-2,Dactolisib,50091-2,AU565,316.0,nM,6,hr,328.87,65.51,p-4EBP1,9.30,328625
10232-101-2,Dactolisib,50091-2,AU565,316.0,nM,24,hr,438.38,64.12,p-4EBP1,13.69,341909
10098-101-2,Gefitinib,50213-2,HCC1954,316.0,nM,6,hr,166.89,61.52,p-4EBP1,80.63,354095
10098-101-2,Gefitinib,50213-2,HCC1954,316.0,nM,24,hr,249.17,105.94,p-4EBP1,124.32,345518
10345-999-1,Torkinib,50213-2,HCC1954,133.0,nM,6,hr,178.50,38.79,p-4EBP1,20.77,355120
10345-999-1,Torkinib,50213-2,HCC1954,133.0,nM,24,hr,222.17,88.12,p-4EBP1,55.50,345797
10172-101-2,GSK1059615,50213-2,HCC1954,316.0,nM,6,hr,326.62,79.30,p-4EBP1,87.60,355921
10172-101-2,GSK1059615,50213-2,HCC1954,316.0,nM,24,hr,275.10,71.43,p-4EBP1,75.04,346633
10057-102-1,MK2206,50213-2,HCC1954,316.0,nM,6,hr,189.81,54.51,p-4EBP1,76.66,356228
10057-102-1,MK2206,50213-2,HCC1954,316.0,nM,24,hr,260.14,111.51,p-4EBP1,138.64,346985
10280-999-2,Triciribine,50213-2,HCC1954,316.0,nM,6,hr,260.64,86.03,p-4EBP1,124.51,356992
10280-999-2,Triciribine,50213-2,HCC1954,316.0,nM,24,hr,241.93,108.12,p-4EBP1,118.63,344240
10232-101-2,Dactolisib,50213-2,HCC1954,316.0,nM,6,hr,220.49,67.32,p-4EBP1,10.28,354661
10232-101-2,Dactolisib,50213-2,HCC1954,316.0,nM,24,hr,269.10,71.60,p-4EBP1,15.75,345014
10098-101-2,Gefitinib,50583-5,MCF 10A,316.0,nM,6,hr,215.20,145.64,p-4EBP1,265.74,334664
10098-101-2,Gefitinib,50583-5,MCF 10A,316.0,nM,24,hr,199.54,154.15,p-4EBP1,149.46,348487
10345-999-1,Torkinib,50583-5,MCF 10A,133.0,nM,6,hr,498.92,152.17,p-4EBP1,90.64,335878
10345-999-1,Torkinib,50583-5,MCF 10A,133.0,nM,24,hr,381.89,153.55,p-4EBP1,79.52,349486
10172-101-2,GSK1059615,50583-5,MCF 10A,316.0,nM,6,hr,271.28,151.18,p-4EBP1,256.87,336212
10172-101-2,GSK1059615,50583-5,MCF 10A,316.0,nM,24,hr,233.58,148.22,p-4EBP1,134.07,350062
10057-102-1,MK2206,50583-5,MCF 10A,316.0,nM,6,hr,374.57,150.53,p-4EBP1,347.38,336832
10057-102-1,MK2206,50583-5,MCF 10A,316.0,nM,24,hr,279.94,176.18,p-4EBP1,195.13,350377
10280-999-2,Triciribine,50583-5,MCF 10A,316.0,nM,6,hr,375.95,152.24,p-4EBP1,348.65,337165
10280-999-2,Triciribine,50583-5,MCF 10A,316.0,nM,24,hr,246.69,149.87,p-4EBP1,169.66,347848
10232-101-2,Dactolisib,50583-5,MCF 10A,316.0,nM,6,hr,337.51,115.36,p-4EBP1,15.42,335473
10232-101-2,Dactolisib,50583-5,MCF 10A,316.0,nM,24,hr,319.08,53.99,p-4EBP1,8.38,347948
10098-101-2,Gefitinib,50541-2,T47D,316.0,nM,6,hr,168.46,99.26,p-4EBP1,489.94,337921
10098-101-2,Gefitinib,50541-2,T47D,316.0,nM,24,hr,135.34,103.12,p-4EBP1,378.08,352105
10345-999-1,Torkinib,50541-2,T47D,133.0,nM,6,hr,150.81,73.17,p-4EBP1,136.18,338875
10345-999-1,Torkinib,50541-2,T47D,133.0,nM,24,hr,115.14,43.04,p-4EBP1,81.95,352556
10172-101-2,GSK1059615,50541-2,T47D,316.0,nM,6,hr,161.83,71.64,p-4EBP1,484.10,339569
10172-101-2,GSK1059615,50541-2,T47D,316.0,nM,24,hr,141.09,48.36,p-4EBP1,354.98,353266
10057-102-1,MK2206,50541-2,T47D,316.0,nM,6,hr,97.21,44.14,p-4EBP1,106.54,340145
10057-102-1,MK2206,50541-2,T47D,316.0,nM,24,hr,131.03,70.58,p-4EBP1,321.88,353564
10280-999-2,Triciribine,50541-2,T47D,316.0,nM,6,hr,108.37,50.60,p-4EBP1,160.52,340846
10280-999-2,Triciribine,50541-2,T47D,316.0,nM,24,hr,165.28,84.19,p-4EBP1,347.08,351142
10232-101-2,Dactolisib,50541-2,T47D,316.0,nM,6,hr,86.15,33.76,p-4EBP1,14.31,338237
10232-101-2,Dactolisib,50541-2,T47D,316.0,nM,24,hr,101.46,37.88,p-4EBP1,24.34,351296
