Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol 1 Concentration,Small Mol 1 Conc Unit,Small Molecule 2 HMS LINCS ID,Small Molecule 2 Name,Small Mol 2 Concentration,Small Mol 2 Conc Unit,Biological Replicate,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Normalized Growth Rate Inhibition Value
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10032-101-1,Saracatinib,1.1111,uM,1,2751,4293,4801,0.7477
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10032-101-1,Saracatinib,1.9245,uM,1,2751,3509,4801,0.3481
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10032-101-1,Saracatinib,3.3333,uM,1,2751,3269,4801,0.2443
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10142-101-1,Trametinib,0.1235,uM,1,2751,4344,4801,0.7766
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10142-101-1,Trametinib,0.3704,uM,1,2751,4285,4801,0.7378
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10142-101-1,Trametinib,1.1111,uM,1,2751,3630,4801,0.4113
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10142-101-1,Trametinib,3.3333,uM,1,2751,3507,4801,0.3523
50105-3,BT-20,10233-101-1,Alpelisib,0.0400,uM,10142-101-1,Trametinib,10,uM,1,2751,2762,4801,0.0007
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,,,0,uM,1,2751,5104,4801,1.1616
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10056-101-1,Selumetinib,0.1235,uM,1,2751,4092,4801,0.6481
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10056-101-1,Selumetinib,0.3704,uM,1,2751,3954,4801,0.5646
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10056-101-1,Selumetinib,1.1111,uM,1,2751,3534,4801,0.3772
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10056-101-1,Selumetinib,3.3333,uM,1,2751,3598,4801,0.4057
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10056-101-1,Selumetinib,10,uM,1,2751,3001,4801,0.1241
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10051-104-1,Lapatinib,1.1111,uM,1,2751,5001,4801,1.1204
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10051-104-1,Lapatinib,1.9245,uM,1,2751,4716,4801,0.9620
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10051-104-1,Lapatinib,3.3333,uM,1,2751,4667,4801,0.9375
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10051-104-1,Lapatinib,5.7735,uM,1,2751,3761,4801,0.4907
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10051-104-1,Lapatinib,10,uM,1,2751,2636,4801,-0.0463
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,2751,6147,4801,1.7623
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,2751,5321,4801,1.2814
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,2751,1543,4801,-0.5074
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10018-101-1,Neratinib,0.1235,uM,1,2751,4102,4801,0.6652
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10018-101-1,Neratinib,0.2138,uM,1,2751,3730,4801,0.4574
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10018-101-1,Neratinib,0.3704,uM,1,2751,3296,4801,0.2498
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10018-101-1,Neratinib,0.6415,uM,1,2751,3389,4801,0.3020
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10018-101-1,Neratinib,1.1111,uM,1,2751,2589,4801,-0.0731
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10018-101-1,Neratinib,1.9245,uM,1,2751,2465,4801,-0.1266
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10032-101-1,Saracatinib,0.3704,uM,1,2751,4091,4801,0.6328
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10032-101-1,Saracatinib,0.6415,uM,1,2751,3959,4801,0.5742
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10032-101-1,Saracatinib,1.1111,uM,1,2751,3929,4801,0.5703
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10032-101-1,Saracatinib,1.9245,uM,1,2751,3080,4801,0.1558
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10032-101-1,Saracatinib,3.3333,uM,1,2751,2934,4801,0.0888
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10142-101-1,Trametinib,0.1235,uM,1,2751,4190,4801,0.6843
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10142-101-1,Trametinib,0.3704,uM,1,2751,3547,4801,0.3688
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10142-101-1,Trametinib,1.1111,uM,1,2751,3012,4801,0.1241
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10142-101-1,Trametinib,3.3333,uM,1,2751,3276,4801,0.2372
50105-3,BT-20,10233-101-1,Alpelisib,0.1235,uM,10142-101-1,Trametinib,10,uM,1,2751,2649,4801,-0.0471
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,,,0,uM,1,2751,4678,4801,0.9438
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10056-101-1,Selumetinib,0.1235,uM,1,2751,3895,4801,0.5389
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10056-101-1,Selumetinib,0.3704,uM,1,2751,3517,4801,0.3560
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10056-101-1,Selumetinib,1.1111,uM,1,2751,3199,4801,0.1991
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10056-101-1,Selumetinib,3.3333,uM,1,2751,2571,4801,-0.0763
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10056-101-1,Selumetinib,10,uM,1,2751,1939,4801,-0.3480
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10051-104-1,Lapatinib,1.1111,uM,1,2751,3290,4801,0.2576
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10051-104-1,Lapatinib,1.9245,uM,1,2751,2569,4801,-0.0859
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10051-104-1,Lapatinib,3.3333,uM,1,2751,2924,4801,0.0959
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10051-104-1,Lapatinib,5.7735,uM,1,2751,2885,4801,0.0690
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10051-104-1,Lapatinib,10,uM,1,2751,2034,4801,-0.3078
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,2751,4894,4801,1.0663
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,2751,3678,4801,0.4271
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,2751,1200,4801,-0.6438
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10018-101-1,Neratinib,0.1235,uM,1,2751,2744,4801,-0.0041
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10018-101-1,Neratinib,0.2138,uM,1,2751,2140,4801,-0.2537
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10018-101-1,Neratinib,0.3704,uM,1,2751,2269,4801,-0.2135
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10018-101-1,Neratinib,0.6415,uM,1,2751,2129,4801,-0.2693
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10018-101-1,Neratinib,1.1111,uM,1,2751,2063,4801,-0.2976
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10018-101-1,Neratinib,1.9245,uM,1,2751,2005,4801,-0.3190
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10032-101-1,Saracatinib,0.3704,uM,1,2751,3011,4801,0.1326
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10032-101-1,Saracatinib,0.6415,uM,1,2751,3092,4801,0.1556
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10032-101-1,Saracatinib,1.1111,uM,1,2751,2834,4801,0.0459
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10032-101-1,Saracatinib,1.9245,uM,1,2751,2031,4801,-0.3108
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10032-101-1,Saracatinib,3.3333,uM,1,2751,1853,4801,-0.3902
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10142-101-1,Trametinib,0.1235,uM,1,2751,3875,4801,0.5450
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10142-101-1,Trametinib,0.3704,uM,1,2751,2546,4801,-0.0932
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10142-101-1,Trametinib,1.1111,uM,1,2751,2517,4801,-0.1019
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10142-101-1,Trametinib,3.3333,uM,1,2751,2430,4801,-0.1400
50105-3,BT-20,10233-101-1,Alpelisib,0.3704,uM,10142-101-1,Trametinib,10,uM,1,2751,1842,4801,-0.3891
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,,,0,uM,1,2751,3110,4801,0.1668
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10056-101-1,Selumetinib,0.1235,uM,1,2751,2103,4801,-0.2820
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10056-101-1,Selumetinib,0.3704,uM,1,2751,2208,4801,-0.2335
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10056-101-1,Selumetinib,1.1111,uM,1,2751,1974,4801,-0.3375
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10056-101-1,Selumetinib,3.3333,uM,1,2751,1544,4801,-0.5100
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10056-101-1,Selumetinib,10,uM,1,2751,1255,4801,-0.6237
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10051-104-1,Lapatinib,1.1111,uM,1,2751,1244,4801,-0.6273
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10051-104-1,Lapatinib,1.9245,uM,1,2751,1505,4801,-0.5264
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10051-104-1,Lapatinib,3.3333,uM,1,2751,1661,4801,-0.4676
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10051-104-1,Lapatinib,5.7735,uM,1,2751,1706,4801,-0.4486
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10051-104-1,Lapatinib,10,uM,1,2751,1447,4801,-0.5508
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,2751,2807,4801,0.0366
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,2751,1762,4801,-0.4273
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,2751,862,4801,-0.7612
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10018-101-1,Neratinib,0.1235,uM,1,2751,1257,4801,-0.6235
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10018-101-1,Neratinib,0.2138,uM,1,2751,1303,4801,-0.6045
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10018-101-1,Neratinib,0.3704,uM,1,2751,1053,4801,-0.6967
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10018-101-1,Neratinib,0.6415,uM,1,2751,1204,4801,-0.6428
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10018-101-1,Neratinib,1.1111,uM,1,2751,1058,4801,-0.6954
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10018-101-1,Neratinib,1.9245,uM,1,2751,1056,4801,-0.6943
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10032-101-1,Saracatinib,0.3704,uM,1,2751,1944,4801,-0.3372
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10032-101-1,Saracatinib,0.6415,uM,1,2751,1622,4801,-0.4818
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10032-101-1,Saracatinib,1.1111,uM,1,2751,1377,4801,-0.5737
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10032-101-1,Saracatinib,1.9245,uM,1,2751,1265,4801,-0.6178
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10032-101-1,Saracatinib,3.3333,uM,1,2751,1018,4801,-0.7102
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10142-101-1,Trametinib,0.1235,uM,1,2751,2084,4801,-0.2868
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10142-101-1,Trametinib,0.3704,uM,1,2751,1404,4801,-0.5671
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10142-101-1,Trametinib,1.1111,uM,1,2751,1302,4801,-0.6056
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10142-101-1,Trametinib,3.3333,uM,1,2751,1226,4801,-0.6337
50105-3,BT-20,10233-101-1,Alpelisib,1.1111,uM,10142-101-1,Trametinib,10,uM,1,2751,1107,4801,-0.6779
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,,,0,uM,1,2751,1323,4801,-0.5975
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10056-101-1,Selumetinib,0.1235,uM,1,2751,1031,4801,-0.7060
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10056-101-1,Selumetinib,0.3704,uM,1,2751,827,4801,-0.7767
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10056-101-1,Selumetinib,1.1111,uM,1,2751,761,4801,-0.7977
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10056-101-1,Selumetinib,3.3333,uM,1,2751,688,4801,-0.8224
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10056-101-1,Selumetinib,10,uM,1,2751,596,4801,-0.8520
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10051-104-1,Lapatinib,1.1111,uM,1,2751,770,4801,-0.7957
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10051-104-1,Lapatinib,1.9245,uM,1,2751,768,4801,-0.7961
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10051-104-1,Lapatinib,3.3333,uM,1,2751,1010,4801,-0.7113
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10051-104-1,Lapatinib,5.7735,uM,1,2751,1174,4801,-0.6539
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10051-104-1,Lapatinib,10,uM,1,2751,1164,4801,-0.6571
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,2751,1186,4801,-0.6486
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,2751,1017,4801,-0.7094
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,2751,581,4801,-0.8559
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10018-101-1,Neratinib,0.1235,uM,1,2751,666,4801,-0.8294
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10018-101-1,Neratinib,0.2138,uM,1,2751,646,4801,-0.8359
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10018-101-1,Neratinib,0.3704,uM,1,2751,652,4801,-0.8309
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10018-101-1,Neratinib,0.6415,uM,1,2751,554,4801,-0.8624
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10018-101-1,Neratinib,1.1111,uM,1,2751,604,4801,-0.8485
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10018-101-1,Neratinib,1.9245,uM,1,2751,554,4801,-0.8642
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10032-101-1,Saracatinib,0.3704,uM,1,2751,986,4801,-0.7216
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10032-101-1,Saracatinib,0.6415,uM,1,2751,927,4801,-0.7422
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10032-101-1,Saracatinib,1.1111,uM,1,2751,857,4801,-0.7664
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10032-101-1,Saracatinib,1.9245,uM,1,2751,648,4801,-0.8349
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10032-101-1,Saracatinib,3.3333,uM,1,2751,510,4801,-0.8769
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10142-101-1,Trametinib,0.1235,uM,1,2751,859,4801,-0.7650
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10142-101-1,Trametinib,0.3704,uM,1,2751,639,4801,-0.8380
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10142-101-1,Trametinib,1.1111,uM,1,2751,613,4801,-0.8460
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10142-101-1,Trametinib,3.3333,uM,1,2751,533,4801,-0.8703
50105-3,BT-20,10233-101-1,Alpelisib,3.3333,uM,10142-101-1,Trametinib,10,uM,1,2751,575,4801,-0.8577
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,,,0,uM,1,2751,677,4801,-0.8259
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10056-101-1,Selumetinib,0.1235,uM,1,2751,481,4801,-0.8860
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10056-101-1,Selumetinib,0.3704,uM,1,2751,454,4801,-0.8941
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10056-101-1,Selumetinib,1.1111,uM,1,2751,463,4801,-0.8898
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10056-101-1,Selumetinib,3.3333,uM,1,2751,455,4801,-0.8922
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10056-101-1,Selumetinib,10,uM,1,2751,399,4801,-0.9091
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10051-104-1,Lapatinib,1.1111,uM,1,2751,502,4801,-0.8794
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10051-104-1,Lapatinib,1.9245,uM,1,2751,478,4801,-0.8868
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10051-104-1,Lapatinib,3.3333,uM,1,2751,682,4801,-0.8245
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10051-104-1,Lapatinib,5.7735,uM,1,2751,833,4801,-0.7747
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10051-104-1,Lapatinib,10,uM,1,2751,1034,4801,-0.7047
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10024-101-1,NVP-TAE684,0.3704,uM,1,2751,531,4801,-0.8713
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10024-101-1,NVP-TAE684,1.1111,uM,1,2751,515,4801,-0.8757
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10024-101-1,NVP-TAE684,3.3333,uM,1,2751,382,4801,-0.9146
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10018-101-1,Neratinib,0.1235,uM,1,2751,472,4801,-0.8889
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10018-101-1,Neratinib,0.2138,uM,1,2751,438,4801,-0.8993
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10018-101-1,Neratinib,0.3704,uM,1,2751,388,4801,-0.9125
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10018-101-1,Neratinib,0.6415,uM,1,2751,379,4801,-0.9148
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10018-101-1,Neratinib,1.1111,uM,1,2751,396,4801,-0.9107
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10018-101-1,Neratinib,1.9245,uM,1,2751,438,4801,-0.8980
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10032-101-1,Saracatinib,0.3704,uM,1,2751,569,4801,-0.8591
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10032-101-1,Saracatinib,0.6415,uM,1,2751,470,4801,-0.8890
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10032-101-1,Saracatinib,1.1111,uM,1,2751,473,4801,-0.8884
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10032-101-1,Saracatinib,1.9245,uM,1,2751,416,4801,-0.9051
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10032-101-1,Saracatinib,3.3333,uM,1,2751,382,4801,-0.9144
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10142-101-1,Trametinib,0.1235,uM,1,2751,469,4801,-0.8890
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10142-101-1,Trametinib,0.3704,uM,1,2751,352,4801,-0.9227
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10142-101-1,Trametinib,1.1111,uM,1,2751,405,4801,-0.9083
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10142-101-1,Trametinib,3.3333,uM,1,2751,400,4801,-0.9097
50105-3,BT-20,10233-101-1,Alpelisib,10,uM,10142-101-1,Trametinib,10,uM,1,2751,347,4801,-0.9243
50105-3,BT-20,10056-101-1,Selumetinib,0.1235,uM,,,0,uM,2,1843,4583,5189,0.8380
50105-3,BT-20,10056-101-1,Selumetinib,0.3704,uM,,,0,uM,2,1843,4661,5189,0.8615
50105-3,BT-20,10056-101-1,Selumetinib,1.1111,uM,,,0,uM,2,1843,4458,5189,0.8056
50105-3,BT-20,10056-101-1,Selumetinib,3.3333,uM,,,0,uM,2,1843,4628,5189,0.8533
50105-3,BT-20,10056-101-1,Selumetinib,10,uM,,,0,uM,2,1843,4160,5189,0.7255
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,,,0,uM,2,1843,5060,5189,0.9643
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10056-101-1,Selumetinib,0.1235,uM,2,1843,4580,5189,0.8395
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10056-101-1,Selumetinib,0.3704,uM,2,1843,4091,5189,0.7055
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10056-101-1,Selumetinib,1.1111,uM,2,1843,4189,5189,0.7335
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10056-101-1,Selumetinib,3.3333,uM,2,1843,4144,5189,0.7196
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10056-101-1,Selumetinib,10,uM,2,1843,3832,5189,0.6325
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10051-104-1,Lapatinib,1.9245,uM,2,1843,4934,5189,0.9331
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10051-104-1,Lapatinib,3.3333,uM,2,1843,4858,5189,0.9122
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10051-104-1,Lapatinib,5.7735,uM,2,1843,4192,5189,0.7328
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10051-104-1,Lapatinib,10,uM,2,1843,3269,5189,0.4663
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10024-101-1,NVP-TAE684,0.3704,uM,2,1843,5414,5189,1.0548
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10024-101-1,NVP-TAE684,1.1111,uM,2,1843,4826,5189,0.9012
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10024-101-1,NVP-TAE684,3.3333,uM,2,1843,1431,5189,-0.1587
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10018-101-1,Neratinib,0.0713,uM,2,1843,4876,5189,0.9157
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10018-101-1,Neratinib,0.1235,uM,2,1843,4526,5189,0.8251
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10018-101-1,Neratinib,0.2138,uM,2,1843,4084,5189,0.7004
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10018-101-1,Neratinib,0.3704,uM,2,1843,3960,5189,0.6692
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10018-101-1,Neratinib,0.6415,uM,2,1843,3447,5189,0.5201
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10018-101-1,Neratinib,1.1111,uM,2,1843,3316,5189,0.4813
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10018-101-1,Neratinib,1.9245,uM,2,1843,3115,5189,0.4204
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10032-101-1,Saracatinib,0.2138,uM,2,1843,4764,5189,0.8845
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10032-101-1,Saracatinib,0.3704,uM,2,1843,4753,5189,0.8851
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10032-101-1,Saracatinib,0.6415,uM,2,1843,4745,5189,0.8837
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10032-101-1,Saracatinib,1.1111,uM,2,1843,4296,5189,0.7612
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10032-101-1,Saracatinib,1.9245,uM,2,1843,4016,5189,0.6836
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10032-101-1,Saracatinib,3.3333,uM,2,1843,3582,5189,0.5586
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10142-101-1,Trametinib,0.1235,uM,2,1843,3828,5189,0.6289
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10142-101-1,Trametinib,0.3704,uM,2,1843,3789,5189,0.6206
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10142-101-1,Trametinib,1.1111,uM,2,1843,3609,5189,0.5672
50105-3,BT-20,10232-101-1,Dactolisib,0.0017,uM,10142-101-1,Trametinib,3.3333,uM,2,1843,3489,5189,0.5333
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,,,0,uM,2,1843,4705,5189,0.8720
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,0.1235,uM,2,1843,3574,5189,0.5576
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,0.3704,uM,2,1843,3681,5189,0.5897
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,1.1111,uM,2,1843,3628,5189,0.5740
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,3.3333,uM,2,1843,3261,5189,0.4640
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10056-101-1,Selumetinib,10,uM,2,1843,2889,5189,0.3501
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10051-104-1,Lapatinib,1.9245,uM,2,1843,4191,5189,0.7331
50105-3,BT-20,10232-101-1,Dactolisib,0.0047,uM,10051-104-1,Lapatinib,3.3333,uM,2,1843,4453,5189,0.8046
